Purchase{id=9, person=Person{name='Antonella', surname='Riepl', email='ariepl8@mediafire.com', ip='169.75.223.75'}, car=Car{color='#7c776f', vin='2D4RN5D13AR749927', company='Dodge', model='Neon', model_year='2004', price=18117.79}, location=Location{country='Poland', city='Dobrzyca'}, date=2020-03-11}
Purchase{id=320, person=Person{name='Kristen', surname='Girardez', email='kgirardez8v@hugedomains.com', ip='90.225.67.178'}, car=Car{color='#475f71', vin='4T1BF1FK9EU502698', company='Dodge', model='Grand Caravan', model_year='2001', price=77010.83}, location=Location{country='Poland', city='Włocławek'}, date=2020-12-01}
Purchase{id=327, person=Person{name='Morna', surname='Arons', email='marons92@delicious.com', ip='28.117.126.136'}, car=Car{color='#a6311e', vin='JTHBL5EF7F1735134', company='Dodge', model='Stratus', model_year='2005', price=48100.31}, location=Location{country='Poland', city='Promna'}, date=2020-12-12}
Purchase{id=407, person=Person{name='Gracia', surname='Falconar', email='gfalconarba@techcrunch.com', ip='96.144.138.187'}, car=Car{color='#e595dc', vin='WP0CA2A88AS487514', company='Dodge', model='Ram Van 2500', model_year='1999', price=58406.23}, location=Location{country='Czech Republic', city='Horní Libina'}, date=2020-08-14}
Purchase{id=432, person=Person{name='Gunther', surname='Malby', email='gmalbybz@diigo.com', ip='185.78.75.188'}, car=Car{color='#165da5', vin='SALAB2D4XDA837242', company='Dodge', model='Caravan', model_year='2000', price=2124.36}, location=Location{country='Poland', city='Stoczek'}, date=2020-03-06}
Purchase{id=435, person=Person{name='Chadwick', surname='Bonn', email='cbonnc2@bizjournals.com', ip='64.141.16.38'}, car=Car{color='#70f22c', vin='1FTEX1CM2DF720034', company='Dodge', model='Ram 2500 Club', model_year='1999', price=56625.93}, location=Location{country='Poland', city='Rydzyna'}, date=2020-09-29}
Purchase{id=459, person=Person{name='Darren', surname='Baskerville', email='dbaskervillecq@exblog.jp', ip='62.248.212.213'}, car=Car{color='#c4fe53', vin='2HNYD18236H138164', company='Dodge', model='Charger', model_year='2009', price=58401.94}, location=Location{country='Czech Republic', city='Černý Most'}, date=2020-06-08}
Purchase{id=491, person=Person{name='Dulcinea', surname='Seery', email='dseerydm@tuttocitta.it', ip='194.248.44.87'}, car=Car{color='#7e0b48', vin='SCBCU7ZA2BC744712', company='Dodge', model='Ram Van B350', model_year='1994', price=66831.50}, location=Location{country='Poland', city='Zbytków'}, date=2020-11-16}
Purchase{id=499, person=Person{name='Jackson', surname='Grzegorzewicz', email='jgrzegorzewiczdu@123-reg.co.uk', ip='158.96.196.114'}, car=Car{color='#410bb7', vin='5LMJJ2H52AE787432', company='Dodge', model='Viper', model_year='1993', price=41325.74}, location=Location{country='Poland', city='Studzionka'}, date=2020-11-12}
Purchase{id=528, person=Person{name='Karol', surname='Gaiter', email='kgaiteren@tuttocitta.it', ip='158.241.79.27'}, car=Car{color='#7a516c', vin='SCFFDCCD3CG713101', company='Dodge', model='Dakota', model_year='1992', price=99938.19}, location=Location{country='Poland', city='Mazańcowice'}, date=2020-08-23}
Purchase{id=542, person=Person{name='Cosimo', surname='Filimore', email='cfilimoref1@ovh.net', ip='226.187.123.119'}, car=Car{color='#6a59a1', vin='5BZBF0AA3FN404954', company='Dodge', model='Dakota', model_year='1995', price=39865.22}, location=Location{country='Poland', city='Goworowo'}, date=2020-04-16}
Purchase{id=545, person=Person{name='Pam', surname='Nuschke', email='pnuschkef4@mapquest.com', ip='235.11.16.87'}, car=Car{color='#891356', vin='WBA3D5C5XEF924890', company='Dodge', model='Stratus', model_year='1998', price=7386.62}, location=Location{country='Poland', city='Nowe Skalmierzyce'}, date=2020-11-27}
Purchase{id=548, person=Person{name='Wynn', surname='Hugues', email='whuguesf7@umich.edu', ip='156.161.210.4'}, car=Car{color='#1b86ad', vin='1G6DJ8E34D0994323', company='Dodge', model='Ram Van B250', model_year='1994', price=23476.59}, location=Location{country='Poland', city='Zbrosławice'}, date=2020-02-21}
Purchase{id=558, person=Person{name='Kimmi', surname='Bausor', email='kbausorfh@economist.com', ip='134.174.249.133'}, car=Car{color='#34de8d', vin='WBABD33495J025040', company='Dodge', model='Ram Van 1500', model_year='1999', price=27569.23}, location=Location{country='Poland', city='Gorzów Wielkopolski'}, date=2020-12-17}
Purchase{id=565, person=Person{name='Wenonah', surname='Goundry', email='wgoundryfo@dropbox.com', ip='146.22.89.181'}, car=Car{color='#f9fbdc', vin='1G4GC5EG8AF688929', company='Dodge', model='Dakota', model_year='1993', price=94078.77}, location=Location{country='Poland', city='Suraż'}, date=2020-12-25}
Purchase{id=576, person=Person{name='Florrie', surname='Hayesman', email='fhayesmanfz@multiply.com', ip='32.194.206.72'}, car=Car{color='#e3ba22', vin='WBA3B1G56EN934993', company='Dodge', model='Grand Caravan', model_year='1995', price=18931.15}, location=Location{country='Poland', city='Smolec'}, date=2020-02-05}
Purchase{id=607, person=Person{name='Thaxter', surname='Wignall', email='twignallgu@unblog.fr', ip='200.190.196.243'}, car=Car{color='#b11a14', vin='WBABS534X2E025988', company='Dodge', model='Ram Wagon B250', model_year='1994', price=47066.16}, location=Location{country='Poland', city='Ursynów'}, date=2020-05-10}
Purchase{id=609, person=Person{name='Alvera', surname='Cramb', email='acrambgw@skype.com', ip='7.131.206.57'}, car=Car{color='#b86be5', vin='1ZVBP8JS2A5298474', company='Dodge', model='Avenger', model_year='2010', price=54174.33}, location=Location{country='Poland', city='Humniska'}, date=2020-03-11}
Purchase{id=620, person=Person{name='Dorene', surname='Straughan', email='dstraughanh7@samsung.com', ip='212.170.85.153'}, car=Car{color='#87fccb', vin='1G6DG577090424744', company='Dodge', model='Dakota', model_year='2002', price=91294.44}, location=Location{country='Czech Republic', city='Lipov'}, date=2020-01-20}
Purchase{id=632, person=Person{name='Si', surname='Kinnerk', email='skinnerkhj@smugmug.com', ip='199.27.53.131'}, car=Car{color='#cae8ea', vin='WBAUP93528V957296', company='Dodge', model='Spirit', model_year='1992', price=62428.34}, location=Location{country='Poland', city='Książki'}, date=2020-04-10}
Purchase{id=634, person=Person{name='Mirna', surname='Grainge', email='mgraingehl@ihg.com', ip='34.229.232.189'}, car=Car{color='#43e59c', vin='1FMJU1G56AE177147', company='Dodge', model='Ram Van B350', model_year='1992', price=68013.76}, location=Location{country='Germany', city='Hamburg'}, date=2020-09-10}
Purchase{id=645, person=Person{name='Myrah', surname='Wilcocke', email='mwilcockehw@cbc.ca', ip='219.236.232.243'}, car=Car{color='#3a57c5', vin='5N1AR2MM5EC088001', company='Dodge', model='Avenger', model_year='1997', price=47767.09}, location=Location{country='Poland', city='Rogóźno'}, date=2020-10-29}
Purchase{id=673, person=Person{name='Katusha', surname='Hayer', email='khayerio@springer.com', ip='124.225.87.39'}, car=Car{color='#97d0f2', vin='WA1CMBFP9FA152843', company='Dodge', model='Grand Caravan', model_year='2003', price=61882.08}, location=Location{country='Czech Republic', city='Kraslice'}, date=2020-07-08}
Purchase{id=675, person=Person{name='Sheelah', surname='Peachey', email='speacheyiq@github.io', ip='244.7.97.169'}, car=Car{color='#b80aa7', vin='1G6YV36A675573460', company='Dodge', model='Viper RT/10', model_year='1995', price=42522.73}, location=Location{country='Poland', city='Ornontowice'}, date=2020-08-14}
Purchase{id=677, person=Person{name='Sib', surname='Morena', email='smorenais@symantec.com', ip='117.161.99.47'}, car=Car{color='#54b333', vin='WBAFR9C50BD074264', company='Dodge', model='Ram Wagon B250', model_year='1994', price=34367.40}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-04-06}
Purchase{id=681, person=Person{name='Barnabas', surname='Grinsdale', email='bgrinsdaleiw@foxnews.com', ip='97.143.174.239'}, car=Car{color='#2d6d7d', vin='2G4WC582X61377707', company='Dodge', model='Grand Caravan', model_year='2007', price=28163.77}, location=Location{country='Poland', city='Stepnica'}, date=2020-12-30}
Purchase{id=749, person=Person{name='Daffy', surname='Baudains', email='dbaudainsks@sphinn.com', ip='101.5.63.49'}, car=Car{color='#c2f451', vin='WBAPK7C5XAA490125', company='Dodge', model='Durango', model_year='2009', price=45584.85}, location=Location{country='Poland', city='Ochla'}, date=2020-12-28}
Purchase{id=765, person=Person{name='Fredrika', surname='Kleynen', email='fkleynenl8@e-recht24.de', ip='39.193.180.228'}, car=Car{color='#e3928f', vin='3D7TP2CT1BG169068', company='Dodge', model='Ram Van 2500', model_year='1997', price=93066.99}, location=Location{country='Poland', city='Prusice'}, date=2020-10-25}
Purchase{id=771, person=Person{name='Mikol', surname='Ends', email='mendsle@sohu.com', ip='198.228.2.241'}, car=Car{color='#20f083', vin='1FTWF3A53AE771803', company='Dodge', model='Ram 2500 Club', model_year='1996', price=32511.62}, location=Location{country='Poland', city='Odolanów'}, date=2020-06-23}
Purchase{id=844, person=Person{name='Vlad', surname='Stiffkins', email='vstiffkinsnf@wikimedia.org', ip='229.169.5.122'}, car=Car{color='#d50975', vin='SALAB2V64EA427540', company='Dodge', model='Ram 1500', model_year='2006', price=97540.72}, location=Location{country='Poland', city='Szemud'}, date=2020-03-01}
Purchase{id=853, person=Person{name='Francine', surname='Shreeves', email='fshreevesno@surveymonkey.com', ip='229.34.247.205'}, car=Car{color='#fff295', vin='5TFBM5F12AX467021', company='Dodge', model='Charger', model_year='2012', price=96970.36}, location=Location{country='Czech Republic', city='Český Těšín'}, date=2020-10-22}
Purchase{id=872, person=Person{name='Michelle', surname='Rounsefell', email='mrounsefello7@chronoengine.com', ip='127.142.126.71'}, car=Car{color='#d397c2', vin='NM0KS9BN6DT608431', company='Dodge', model='Ram Van B150', model_year='1994', price=94292.51}, location=Location{country='Poland', city='Mętków'}, date=2020-08-10}
Purchase{id=884, person=Person{name='Roseann', surname='June', email='rjuneoj@unicef.org', ip='3.65.84.237'}, car=Car{color='#347e3e', vin='WAUVFAFH9AN251169', company='Dodge', model='Stratus', model_year='2003', price=78182.91}, location=Location{country='Czech Republic', city='Valdice'}, date=2020-02-10}
Purchase{id=918, person=Person{name='Brandyn', surname='Rean', email='breanph@xinhuanet.com', ip='237.74.32.111'}, car=Car{color='#54d872', vin='WA1LMAFE7ED633440', company='Dodge', model='Neon', model_year='2003', price=84507.12}, location=Location{country='Czech Republic', city='Louny'}, date=2020-10-06}
Purchase{id=929, person=Person{name='Annissa', surname='Beernt', email='abeerntps@about.me', ip='231.81.164.97'}, car=Car{color='#c4ee83', vin='1GYS3CEF6BR619628', company='Dodge', model='Caravan', model_year='2010', price=84143.31}, location=Location{country='Czech Republic', city='Horní Štěpánov'}, date=2020-06-05}
Purchase{id=946, person=Person{name='Claudetta', surname='Dorrance', email='cdorranceq9@ft.com', ip='58.120.252.39'}, car=Car{color='#41c53f', vin='WBANW5C55AC276163', company='Dodge', model='Ram Wagon B350', model_year='1992', price=81464.86}, location=Location{country='Poland', city='Gręboszów'}, date=2020-03-14}
Purchase{id=956, person=Person{name='Alon', surname='Ziemen', email='aziemenqj@tripod.com', ip='6.117.243.92'}, car=Car{color='#35969e', vin='WBY2Z2C55FV190146', company='Dodge', model='Caravan', model_year='1999', price=24546.55}, location=Location{country='Czech Republic', city='Velký Újezd'}, date=2020-10-01}
Purchase{id=967, person=Person{name='Jedd', surname='Pointon', email='jpointonqu@flickr.com', ip='30.221.214.139'}, car=Car{color='#0caf98', vin='WBAEN33432P150697', company='Dodge', model='Ram 2500', model_year='1994', price=60999.32}, location=Location{country='Poland', city='Jastrowie'}, date=2020-09-07}
