Purchase{id=98, person=Person{name='Elmo', surname='Bezant', email='ebezant2p@newsvine.com', ip='235.99.242.125'}, car=Car{color='#952399', vin='1FTMF1CW3AF329339', company='Mercury', model='Cougar', model_year='1970', price=88700.15}, location=Location{country='Czech Republic', city='Mirošov'}, date=2020-01-04}
Purchase{id=317, person=Person{name='Khalil', surname='Barwack', email='kbarwack8s@lycos.com', ip='116.51.91.210'}, car=Car{color='#b2b7cc', vin='1GYS4DEF3DR442820', company='Mercury', model='Mariner', model_year='2005', price=51045.02}, location=Location{country='Czech Republic', city='Nelahozeves'}, date=2020-02-27}
Purchase{id=328, person=Person{name='Elnar', surname='Coltart', email='ecoltart93@nytimes.com', ip='145.206.93.96'}, car=Car{color='#58dff1', vin='JTEBU5JR2B5223875', company='Mercury', model='Mariner', model_year='2008', price=26925.61}, location=Location{country='Czech Republic', city='Heřmanův Městec'}, date=2020-10-28}
Purchase{id=342, person=Person{name='Alyssa', surname='Clashe', email='aclashe9h@blinklist.com', ip='230.61.62.9'}, car=Car{color='#8a68e6', vin='1G6DH5E50D0785012', company='Mercury', model='Lynx', model_year='1984', price=82170.72}, location=Location{country='Poland', city='Ryglice'}, date=2020-03-06}
Purchase{id=358, person=Person{name='Olia', surname='Callan', email='ocallan9x@infoseek.co.jp', ip='233.216.233.211'}, car=Car{color='#39ef77', vin='KMHHT6KD9AU835985', company='Mercury', model='Mountaineer', model_year='2009', price=22855.77}, location=Location{country='Poland', city='Rozwadza'}, date=2020-10-30}
Purchase{id=378, person=Person{name='Deidre', surname='Chazier', email='dchazierah@ustream.tv', ip='136.230.58.76'}, car=Car{color='#3947d1', vin='WBAAV53491F688562', company='Mercury', model='Grand Marquis', model_year='1988', price=28802.63}, location=Location{country='Poland', city='Międzyzdroje'}, date=2020-10-16}
Purchase{id=402, person=Person{name='Mayer', surname='Lazer', email='mlazerb5@edublogs.org', ip='167.64.141.230'}, car=Car{color='#734860', vin='WP0CA2A86FS611688', company='Mercury', model='Mountaineer', model_year='1997', price=41726.55}, location=Location{country='Poland', city='Karnice'}, date=2020-11-07}
Purchase{id=510, person=Person{name='Olly', surname='Sheryn', email='osheryne5@zimbio.com', ip='26.43.42.200'}, car=Car{color='#b17c5c', vin='1GKS1AE01BR826492', company='Mercury', model='Sable', model_year='2008', price=88771.17}, location=Location{country='Poland', city='Dobczyce'}, date=2020-07-22}
Purchase{id=526, person=Person{name='Gabriell', surname='Derr', email='gderrel@de.vu', ip='244.77.221.211'}, car=Car{color='#478496', vin='1FMJK1F54CE291898', company='Mercury', model='Cougar', model_year='2002', price=50675.72}, location=Location{country='Poland', city='Drezdenko'}, date=2020-01-10}
Purchase{id=553, person=Person{name='Faythe', surname='Shenton', email='fshentonfc@archive.org', ip='140.12.228.183'}, car=Car{color='#07291f', vin='WBASP2C56CC901204', company='Mercury', model='Mariner', model_year='2006', price=53006.62}, location=Location{country='Poland', city='Gołkowice'}, date=2020-09-04}
Purchase{id=563, person=Person{name='Florinda', surname='Maier', email='fmaierfm@economist.com', ip='147.254.125.182'}, car=Car{color='#d10a8b', vin='1FA6P8AM6F5627941', company='Mercury', model='Sable', model_year='2001', price=37903.44}, location=Location{country='Poland', city='Kokotów'}, date=2020-07-13}
Purchase{id=694, person=Person{name='Jeannine', surname='Grimbaldeston', email='jgrimbaldestonj9@army.mil', ip='151.193.138.112'}, car=Car{color='#3e9c11', vin='1FTEW1CM8EF381297', company='Mercury', model='Cougar', model_year='1967', price=55346.30}, location=Location{country='Germany', city='Berlin'}, date=2020-05-22}
Purchase{id=708, person=Person{name='Nealon', surname='De Gogay', email='ndegogayjn@yelp.com', ip='49.109.86.206'}, car=Car{color='#a8ad35', vin='WAULT58E05A962122', company='Mercury', model='Topaz', model_year='1992', price=88186.70}, location=Location{country='Poland', city='Olszówka'}, date=2020-10-15}
Purchase{id=712, person=Person{name='Collin', surname='Sollime', email='csollimejr@sciencedirect.com', ip='177.129.229.227'}, car=Car{color='#647785', vin='WBADR634X1G734997', company='Mercury', model='Tracer', model_year='1992', price=29227.96}, location=Location{country='Czech Republic', city='Všetaty'}, date=2020-06-23}
Purchase{id=756, person=Person{name='Dina', surname='Walkey', email='dwalkeykz@wisc.edu', ip='233.131.26.182'}, car=Car{color='#17dbfd', vin='SCBBR93W88C407550', company='Mercury', model='Grand Marquis', model_year='1992', price=96434.99}, location=Location{country='Czech Republic', city='Františkovy Lázně'}, date=2020-04-11}
Purchase{id=790, person=Person{name='Benyamin', surname='Nodes', email='bnodeslx@gizmodo.com', ip='112.70.141.94'}, car=Car{color='#c5ab8a', vin='KMHGC4DD0DU079500', company='Mercury', model='Villager', model_year='1996', price=19761.40}, location=Location{country='Germany', city='Hamburg Harvestehude'}, date=2020-05-14}
Purchase{id=792, person=Person{name='Leigh', surname='Froschauer', email='lfroschauerlz@wufoo.com', ip='97.207.13.52'}, car=Car{color='#690902', vin='1FTWX3B50AE789283', company='Mercury', model='Topaz', model_year='1990', price=6267.14}, location=Location{country='Czech Republic', city='Všetaty'}, date=2020-08-27}
Purchase{id=820, person=Person{name='Gardener', surname='Bilovus', email='gbilovusmr@europa.eu', ip='220.138.58.198'}, car=Car{color='#815aac', vin='1D4PT2GK1AW486876', company='Mercury', model='Grand Marquis', model_year='1999', price=92848.71}, location=Location{country='Poland', city='Czarnowąsy'}, date=2020-07-15}
Purchase{id=827, person=Person{name='Sydney', surname='O' Borne', email='sobornemy@arstechnica.com', ip='13.158.39.1'}, car=Car{color='#36ce6f', vin='WAUEF78E07A835773', company='Mercury', model='Topaz', model_year='1989', price=65032.86}, location=Location{country='Czech Republic', city='Svoboda nad Úpou'}, date=2020-09-15}
Purchase{id=840, person=Person{name='Brittaney', surname='Hambling', email='bhamblingnb@vkontakte.ru', ip='14.108.5.141'}, car=Car{color='#73644c', vin='WBAGL83594D442623', company='Mercury', model='Sable', model_year='1987', price=32745.24}, location=Location{country='Poland', city='Karnice'}, date=2020-11-21}
Purchase{id=940, person=Person{name='Garik', surname='Dwelley', email='gdwelleyq3@ezinearticles.com', ip='219.56.27.131'}, car=Car{color='#6d8d13', vin='19XFA1F30AE306591', company='Mercury', model='Capri', model_year='1992', price=8438.45}, location=Location{country='Czech Republic', city='Pražmo'}, date=2020-09-16}
Purchase{id=991, person=Person{name='Pauly', surname='Woolston', email='pwoolstonri@4shared.com', ip='200.141.161.185'}, car=Car{color='#eafab3', vin='JTDBT4K38B1070986', company='Mercury', model='Cougar', model_year='1997', price=18256.62}, location=Location{country='Germany', city='Köln'}, date=2020-10-20}
Purchase{id=993, person=Person{name='Rodd', surname='Munkley', email='rmunkleyrk@rambler.ru', ip='24.205.115.116'}, car=Car{color='#ad3482', vin='WAUDFAFL9EN001310', company='Mercury', model='Grand Marquis', model_year='2000', price=21225.95}, location=Location{country='Czech Republic', city='Čáslav'}, date=2020-01-12}
Purchase{id=995, person=Person{name='Rossie', surname='Hick', email='rhickrm@google.it', ip='0.110.248.57'}, car=Car{color='#1ec438', vin='2G4GT5GR0D9474299', company='Mercury', model='Lynx', model_year='1986', price=69167.18}, location=Location{country='Poland', city='Zamarski'}, date=2020-05-12}
