Purchase{id=1, person=Person{name='Marsh', surname='Polon', email='mpolon0@google.de', ip='155.43.28.214'}, car=Car{color='#255a97', vin='3D7TT2HT8BG370793', company='Chevrolet', model='Cobalt', model_year='2006', price=67487.58}, location=Location{country='Czech Republic', city='Bořetice'}, date=2020-09-03}
Purchase{id=605, person=Person{name='Trudy', surname='Spileman', email='tspilemangs@intel.com', ip='148.13.200.73'}, car=Car{color='#05ec4f', vin='3D4PH5FV3AT019091', company='Chevrolet', model='1500', model_year='1993', price=60357.78}, location=Location{country='Czech Republic', city='Toužim'}, date=2020-09-26}
Purchase{id=631, person=Person{name='Meghan', surname='Blethin', email='mblethinhi@etsy.com', ip='254.104.196.107'}, car=Car{color='#fd9a0b', vin='SCBZK25E01C747487', company='Chevrolet', model='Express 3500', model_year='2009', price=81029.37}, location=Location{country='Czech Republic', city='Litvínovice'}, date=2020-01-09}
Purchase{id=637, person=Person{name='Leicester', surname='Gamlyn', email='lgamlynho@twitter.com', ip='42.47.239.199'}, car=Car{color='#e0cd9d', vin='WBAVB73537P799707', company='Chevrolet', model='Aveo', model_year='2007', price=54181.97}, location=Location{country='Czech Republic', city='Tvrdonice'}, date=2020-09-06}
Purchase{id=666, person=Person{name='Bill', surname='MacGragh', email='bmacgraghih@moonfruit.com', ip='206.9.59.250'}, car=Car{color='#f23129', vin='1FTEW1E83AF389916', company='Chevrolet', model='Corvette', model_year='1965', price=51423.85}, location=Location{country='Poland', city='Limanowa'}, date=2020-02-29}
Purchase{id=686, person=Person{name='Merrill', surname='Kobel', email='mkobelj1@ft.com', ip='205.169.132.181'}, car=Car{color='#2d2f9c', vin='JN8AE2KP2B9252931', company='Chevrolet', model='Corvette', model_year='1966', price=8905.37}, location=Location{country='Germany', city='Lübeck'}, date=2020-03-18}
Purchase{id=692, person=Person{name='Frances', surname='Cham', email='fchamj7@i2i.jp', ip='40.14.255.14'}, car=Car{color='#51b04b', vin='1FTEW1E80AF435217', company='Chevrolet', model='G-Series G20', model_year='1993', price=56306.72}, location=Location{country='Poland', city='Haczów'}, date=2020-11-17}
Purchase{id=697, person=Person{name='Rodd', surname='Tomlins', email='rtomlinsjc@exblog.jp', ip='41.102.79.103'}, car=Car{color='#975171', vin='WBAWR33578P429371', company='Chevrolet', model='Lumina', model_year='1993', price=67013.15}, location=Location{country='Poland', city='Domaradz'}, date=2020-06-07}
Purchase{id=706, person=Person{name='Ado', surname='Caldero', email='acalderojl@zdnet.com', ip='67.10.140.164'}, car=Car{color='#e1eb7d', vin='19UUA76698A878388', company='Chevrolet', model='Silverado 3500', model_year='2003', price=40912.28}, location=Location{country='Germany', city='Köln'}, date=2020-03-31}
Purchase{id=739, person=Person{name='Zonnya', surname='Rivelin', email='zrivelinki@mayoclinic.com', ip='182.160.245.142'}, car=Car{color='#79edb3', vin='2T1BU4EE9BC690123', company='Chevrolet', model='G-Series G20', model_year='1994', price=39825.36}, location=Location{country='Poland', city='Strachówka'}, date=2020-05-23}
Purchase{id=772, person=Person{name='Doll', surname='Bagge', email='dbaggelf@studiopress.com', ip='3.148.90.191'}, car=Car{color='#09e3aa', vin='WBAYA6C53FD599274', company='Chevrolet', model='Tracker', model_year='2000', price=72207.02}, location=Location{country='Poland', city='Maniowy'}, date=2020-02-12}
Purchase{id=779, person=Person{name='Prentiss', surname='Aish', email='paishlm@chronoengine.com', ip='4.15.170.152'}, car=Car{color='#d3845c', vin='YV4952BZ2E1701993', company='Chevrolet', model='Cavalier', model_year='1996', price=72928.00}, location=Location{country='Poland', city='Markowa'}, date=2020-02-07}
Purchase{id=782, person=Person{name='Kaila', surname='Grimes', email='kgrimeslp@etsy.com', ip='117.134.130.196'}, car=Car{color='#da7b08', vin='2C3CCARGXDH605370', company='Chevrolet', model='Impala', model_year='1996', price=3950.11}, location=Location{country='Poland', city='Piła'}, date=2020-05-18}
Purchase{id=801, person=Person{name='Danell', surname='Johansson', email='djohanssonm8@linkedin.com', ip='244.165.247.121'}, car=Car{color='#ea29a7', vin='1LNHL9DK7DG525169', company='Chevrolet', model='Camaro', model_year='1999', price=69624.54}, location=Location{country='Czech Republic', city='Břeclav'}, date=2020-07-09}
Purchase{id=807, person=Person{name='Guy', surname='Yellowlea', email='gyellowleame@sun.com', ip='94.116.159.245'}, car=Car{color='#a8ca5f', vin='WAUEH64B31N946110', company='Chevrolet', model='Corvette', model_year='1992', price=23899.56}, location=Location{country='Poland', city='Wrocław'}, date=2020-07-06}
Purchase{id=826, person=Person{name='Melodie', surname='Sweetland', email='msweetlandmx@google.com.au', ip='42.222.63.231'}, car=Car{color='#c8675e', vin='3VW467AT2CM696599', company='Chevrolet', model='Metro', model_year='1998', price=87282.09}, location=Location{country='Czech Republic', city='Bošovice'}, date=2020-06-12}
Purchase{id=829, person=Person{name='Osbourn', surname='Bickerton', email='obickertonn0@storify.com', ip='115.252.66.219'}, car=Car{color='#b6f65c', vin='1C4RDJEG8EC836037', company='Chevrolet', model='Avalanche 1500', model_year='2005', price=50872.19}, location=Location{country='Poland', city='Ręczno'}, date=2020-09-24}
Purchase{id=845, person=Person{name='Josias', surname='Tidbald', email='jtidbaldng@apache.org', ip='254.243.8.126'}, car=Car{color='#d88fc9', vin='WAUDFAFL8EN511227', company='Chevrolet', model='G-Series G20', model_year='1994', price=69481.30}, location=Location{country='Poland', city='Sośnicowice'}, date=2020-02-29}
Purchase{id=860, person=Person{name='Tull', surname='Conlaund', email='tconlaundnv@bigcartel.com', ip='250.168.201.88'}, car=Car{color='#3dca1c', vin='WAUJFAFH1CN181751', company='Chevrolet', model='2500', model_year='1999', price=63204.36}, location=Location{country='Poland', city='Krzanowice'}, date=2020-07-16}
Purchase{id=899, person=Person{name='Emilee', surname='Mainland', email='emainlandoy@opera.com', ip='79.111.208.222'}, car=Car{color='#5afe30', vin='JN8AS5MTXBW467768', company='Chevrolet', model='Caprice', model_year='1995', price=12198.77}, location=Location{country='Poland', city='Solec Nad Wisłą'}, date=2020-03-14}
Purchase{id=915, person=Person{name='Dominique', surname='Edbrooke', email='dedbrookepe@shinystat.com', ip='72.117.124.89'}, car=Car{color='#7e6e3f', vin='1FMNE1BW8AD691862', company='Chevrolet', model='TrailBlazer', model_year='2003', price=63109.55}, location=Location{country='Czech Republic', city='Bohumín'}, date=2020-11-16}
Purchase{id=925, person=Person{name='Raimund', surname='Blackburn', email='rblackburnpo@friendfeed.com', ip='33.31.188.227'}, car=Car{color='#776095', vin='JN8AZ1MU0AW797642', company='Chevrolet', model='Suburban 2500', model_year='2008', price=10384.44}, location=Location{country='Poland', city='Szczawnica'}, date=2020-02-25}
Purchase{id=928, person=Person{name='Hester', surname='O'Lenechan', email='holenechanpr@etsy.com', ip='208.29.140.44'}, car=Car{color='#e10c2b', vin='1D4PT6GX8AW814748', company='Chevrolet', model='Sportvan G30', model_year='1996', price=45593.86}, location=Location{country='Poland', city='Sonina'}, date=2020-09-12}
Purchase{id=930, person=Person{name='Alejoa', surname='Sanpere', email='asanperept@apache.org', ip='251.168.55.148'}, car=Car{color='#a2f3e3', vin='KL4CJASB5FB830947', company='Chevrolet', model='Express 3500', model_year='1997', price=48368.72}, location=Location{country='Germany', city='Wuppertal'}, date=2020-09-29}
Purchase{id=960, person=Person{name='Jaquelin', surname='Jzhakov', email='jjzhakovqn@de.vu', ip='16.4.77.174'}, car=Car{color='#7b3bae', vin='1G4GE5G39FF134469', company='Chevrolet', model='Colorado', model_year='2010', price=35879.16}, location=Location{country='Poland', city='Trzebinia'}, date=2020-01-18}
Purchase{id=963, person=Person{name='Alley', surname='Sex', email='asexqq@japanpost.jp', ip='112.196.26.25'}, car=Car{color='#d76660', vin='1N4AB7AP0DN891280', company='Chevrolet', model='Corvette', model_year='2011', price=7848.14}, location=Location{country='Poland', city='Truskolasy'}, date=2020-04-09}
Purchase{id=977, person=Person{name='Jobyna', surname='Hadfield', email='jhadfieldr4@spiegel.de', ip='187.130.89.230'}, car=Car{color='#f8bdb5', vin='KNAFX6A85F5800881', company='Chevrolet', model='Cavalier', model_year='1995', price=12888.87}, location=Location{country='Poland', city='Czerniejewo'}, date=2020-11-07}
