Purchase{id=12, person=Person{name='Brannon', surname='Dexter', email='bdexterb@mozilla.com', ip='242.111.242.135'}, car=Car{color='#1906e0', vin='1G6DS57VX90897709', company='Cadillac', model='Escalade ESV', model_year='2007', price=28270.94}, location=Location{country='Poland', city='Rozwadza'}, date=2020-01-12}
Purchase{id=575, person=Person{name='Derek', surname='Fell', email='dfellfy@odnoklassniki.ru', ip='68.239.166.160'}, car=Car{color='#284e74', vin='WAUAF78E57A216018', company='Cadillac', model='Escalade EXT', model_year='2012', price=4916.34}, location=Location{country='Czech Republic', city='Vřesina'}, date=2020-06-03}
Purchase{id=614, person=Person{name='Ferdinand', surname='Wethered', email='fwetheredh1@php.net', ip='108.5.13.188'}, car=Car{color='#08ea45', vin='WBADT53492C781846', company='Cadillac', model='DeVille', model_year='1993', price=3635.44}, location=Location{country='Czech Republic', city='Řehlovice'}, date=2020-03-01}
Purchase{id=664, person=Person{name='Richmond', surname='Gartin', email='rgartinif@smh.com.au', ip='150.231.78.143'}, car=Car{color='#aa7c7a', vin='1G6EL12Y71B193231', company='Cadillac', model='DeVille', model_year='2003', price=69314.01}, location=Location{country='Poland', city='Połajewo'}, date=2020-09-01}
Purchase{id=685, person=Person{name='Wayne', surname='Ainslee', email='wainsleej0@tamu.edu', ip='245.73.253.149'}, car=Car{color='#993abd', vin='W04GU5GC6B1388214', company='Cadillac', model='Seville', model_year='2000', price=10923.46}, location=Location{country='Poland', city='Licheń Stary'}, date=2020-03-18}
Purchase{id=700, person=Person{name='Hendrika', surname='Henzer', email='hhenzerjf@earthlink.net', ip='66.26.160.212'}, car=Car{color='#bab7bb', vin='1C4SDJCT5FC458360', company='Cadillac', model='SRX', model_year='2009', price=56724.53}, location=Location{country='Poland', city='Siemianowice Śląskie'}, date=2020-10-08}
Purchase{id=723, person=Person{name='Lou', surname='Spittle', email='lspittlek2@google.cn', ip='7.89.74.148'}, car=Car{color='#64a2a1', vin='WBAEH13567C622572', company='Cadillac', model='Eldorado', model_year='2001', price=19680.87}, location=Location{country='Poland', city='Włoszczowa'}, date=2020-06-10}
Purchase{id=836, person=Person{name='Porty', surname='Hamber', email='phambern7@slashdot.org', ip='25.55.104.53'}, car=Car{color='#dfffeb', vin='WAUMGAFL0EA647324', company='Cadillac', model='Seville', model_year='2004', price=58204.20}, location=Location{country='Czech Republic', city='Jistebnice'}, date=2020-10-29}
Purchase{id=848, person=Person{name='Bertine', surname='Rispen', email='brispennj@hhs.gov', ip='166.238.198.27'}, car=Car{color='#e1ec7b', vin='JTHBL1EF5A5204900', company='Cadillac', model='Escalade ESV', model_year='2009', price=67009.11}, location=Location{country='Denmark', city='København'}, date=2020-08-18}
Purchase{id=867, person=Person{name='Irving', surname='Schult', email='ischulto2@etsy.com', ip='205.233.61.28'}, car=Car{color='#efc402', vin='2FMDK3AK5CB018390', company='Cadillac', model='Seville', model_year='2003', price=33537.49}, location=Location{country='Poland', city='Borne Sulinowo'}, date=2020-05-15}
Purchase{id=974, person=Person{name='Nil', surname='Broggio', email='nbroggior1@sourceforge.net', ip='84.124.154.88'}, car=Car{color='#989264', vin='KMHFC4DD4BA315334', company='Cadillac', model='Fleetwood', model_year='1993', price=97896.49}, location=Location{country='Czech Republic', city='Darkovice'}, date=2020-11-19}
