Purchase{id=41, person=Person{name='Queenie', surname='Vial', email='qvial14@multiply.com', ip='201.11.195.220'}, car=Car{color='#e8facb', vin='WAUCFAFH8BN695474', company='GMC', model='Suburban 1500', model_year='1993', price=31746.21}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-09-06}
Purchase{id=292, person=Person{name='Giles', surname='Connow', email='gconnow83@youtube.com', ip='235.79.131.45'}, car=Car{color='#0f626f', vin='JTDJTUD38ED707208', company='GMC', model='Yukon XL 2500', model_year='2007', price=69035.73}, location=Location{country='Poland', city='Malanów'}, date=2020-11-20}
Purchase{id=308, person=Person{name='Granthem', surname='Eadon', email='geadon8j@salon.com', ip='132.24.118.249'}, car=Car{color='#19c402', vin='KM8NU4CC4AU614708', company='GMC', model='Yukon', model_year='2004', price=72033.77}, location=Location{country='Czech Republic', city='Plasy'}, date=2020-05-02}
Purchase{id=348, person=Person{name='Gearard', surname='Kingscote', email='gkingscote9n@engadget.com', ip='40.44.207.217'}, car=Car{color='#c2f4d5', vin='WAULC58E35A583020', company='GMC', model='Yukon XL', model_year='2006', price=11181.27}, location=Location{country='Poland', city='Gierałtowice'}, date=2020-11-16}
Purchase{id=375, person=Person{name='Shayna', surname='Schruur', email='sschruurae@delicious.com', ip='25.127.2.92'}, car=Car{color='#9aaf0a', vin='1GYEE637960103908', company='GMC', model='Sierra 3500HD', model_year='2006', price=84773.86}, location=Location{country='Czech Republic', city='Valašská Polanka'}, date=2020-07-25}
Purchase{id=387, person=Person{name='Mady', surname='MacGrath', email='mmacgrathaq@odnoklassniki.ru', ip='168.173.158.37'}, car=Car{color='#516f4f', vin='4T1BD1FK7EU858671', company='GMC', model='Sierra 3500', model_year='2008', price=53506.27}, location=Location{country='Poland', city='Fabianki'}, date=2020-02-07}
Purchase{id=395, person=Person{name='Umeko', surname='Taylerson', email='utaylersonay@e-recht24.de', ip='5.0.35.239'}, car=Car{color='#6de45b', vin='KNAGM4AD8B5260354', company='GMC', model='1500', model_year='1992', price=3070.67}, location=Location{country='Czech Republic', city='Žatec'}, date=2020-01-18}
Purchase{id=426, person=Person{name='Marilin', surname='Fibbit', email='mfibbitbt@livejournal.com', ip='80.250.14.80'}, car=Car{color='#707a7d', vin='WAUEH94F66N031733', company='GMC', model='Savana', model_year='2009', price=31054.78}, location=Location{country='Czech Republic', city='Libochovice'}, date=2020-03-20}
Purchase{id=446, person=Person{name='Fern', surname='Lakenton', email='flakentoncd@facebook.com', ip='159.220.193.208'}, car=Car{color='#40b818', vin='WAUML54DX1N686746', company='GMC', model='Jimmy', model_year='2000', price=47126.24}, location=Location{country='Poland', city='Szelków'}, date=2020-01-16}
Purchase{id=507, person=Person{name='Brittni', surname='Aingel', email='baingele2@sina.com.cn', ip='53.42.198.158'}, car=Car{color='#441168', vin='JN8AZ1MU0EW246066', company='GMC', model='Savana 2500', model_year='2006', price=43340.55}, location=Location{country='Poland', city='Gościeradów'}, date=2020-08-05}
Purchase{id=534, person=Person{name='Sibeal', surname='Clementi', email='sclementiet@deliciousdays.com', ip='89.71.181.135'}, car=Car{color='#c34a0f', vin='5N1AN0NWXFN186320', company='GMC', model='Sierra 2500HD', model_year='2006', price=40112.71}, location=Location{country='Poland', city='Janowice'}, date=2020-03-10}
Purchase{id=589, person=Person{name='Isidor', surname='Yellowlea', email='iyellowleagc@ucoz.com', ip='151.112.41.48'}, car=Car{color='#6d0aee', vin='WBSKG9C59CE840763', company='GMC', model='Safari', model_year='1998', price=51305.64}, location=Location{country='Poland', city='Dolsk'}, date=2020-04-22}
Purchase{id=592, person=Person{name='Lewes', surname='Tyght', email='ltyghtgf@cnet.com', ip='16.40.31.102'}, car=Car{color='#b9ddee', vin='1N6AF0KXXEN623632', company='GMC', model='Savana 3500', model_year='2005', price=11530.76}, location=Location{country='Poland', city='Koszarawa'}, date=2020-04-22}
Purchase{id=604, person=Person{name='Gabriela', surname='Mourant', email='gmourantgr@weebly.com', ip='210.52.131.112'}, car=Car{color='#0fbd48', vin='2D4RN5D19AR043111', company='GMC', model='Suburban 2500', model_year='1993', price=84627.60}, location=Location{country='Czech Republic', city='Bílovice'}, date=2020-04-07}
Purchase{id=613, person=Person{name='Shayne', surname='Angelo', email='sangeloh0@nationalgeographic.com', ip='57.102.188.37'}, car=Car{color='#41087a', vin='1G6KS54Y31U403967', company='GMC', model='2500 Club Coupe', model_year='1992', price=45723.16}, location=Location{country='Poland', city='Czarna Dąbrówka'}, date=2020-07-16}
Purchase{id=647, person=Person{name='Konstanze', surname='Clink', email='kclinkhy@stanford.edu', ip='72.146.2.5'}, car=Car{color='#4c53c5', vin='JTEBU5JR7F5986836', company='GMC', model='Savana 2500', model_year='2012', price=93562.16}, location=Location{country='Czech Republic', city='Hošťka'}, date=2020-12-11}
Purchase{id=660, person=Person{name='Cynthea', surname='Ellson', email='cellsonib@cocolog-nifty.com', ip='206.74.200.55'}, car=Car{color='#c3226e', vin='1D4PT7GXXAW497299', company='GMC', model='2500', model_year='1993', price=21660.32}, location=Location{country='Poland', city='Lubasz'}, date=2020-05-15}
Purchase{id=667, person=Person{name='Maighdiln', surname='Sapp', email='msappii@list-manage.com', ip='64.112.131.231'}, car=Car{color='#b9a809', vin='3D73Y4CL2BG053046', company='GMC', model='Savana 1500', model_year='2010', price=40340.91}, location=Location{country='Poland', city='Rozwadza'}, date=2020-11-27}
Purchase{id=705, person=Person{name='Sax', surname='Mordan', email='smordanjk@biglobe.ne.jp', ip='7.122.198.201'}, car=Car{color='#f85043', vin='1FTSX2A5XAE000101', company='GMC', model='Savana 2500', model_year='2002', price=98810.22}, location=Location{country='Czech Republic', city='Dambořice'}, date=2020-07-21}
Purchase{id=748, person=Person{name='Ashli', surname='Blaske', email='ablaskekr@utexas.edu', ip='205.136.124.26'}, car=Car{color='#1ff3f1', vin='1FTEX1CM9CF292574', company='GMC', model='Sierra 1500', model_year='2011', price=56821.35}, location=Location{country='Poland', city='Dzięgielów'}, date=2020-05-23}
Purchase{id=864, person=Person{name='Kane', surname='Coldbreath', email='kcoldbreathnz@hexun.com', ip='145.161.71.20'}, car=Car{color='#bc4595', vin='WBANV13549C565848', company='GMC', model='Sierra 3500HD', model_year='2006', price=15836.35}, location=Location{country='Germany', city='München'}, date=2020-04-22}
Purchase{id=891, person=Person{name='Corliss', surname='Cabena', email='ccabenaoq@csmonitor.com', ip='59.54.236.199'}, car=Car{color='#56dc82', vin='19UUA8F24CA675498', company='GMC', model='Rally Wagon G3500', model_year='1995', price=35595.63}, location=Location{country='Poland', city='Chojna'}, date=2020-01-03}
Purchase{id=907, person=Person{name='Kelvin', surname='Learman', email='klearmanp6@zdnet.com', ip='0.0.216.245'}, car=Car{color='#2b3e57', vin='JHMZF1C48CS081847', company='GMC', model='Yukon', model_year='1997', price=15503.07}, location=Location{country='Poland', city='Łysomice'}, date=2020-08-06}
Purchase{id=913, person=Person{name='Norina', surname='O'Lennane', email='nolennanepc@springer.com', ip='159.172.213.215'}, car=Car{color='#8d6fd2', vin='SCFBF04B68G056306', company='GMC', model='Savana 3500', model_year='2008', price=86096.31}, location=Location{country='Denmark', city='København'}, date=2020-02-03}
Purchase{id=968, person=Person{name='Odette', surname='Reed', email='oreedqv@quantcast.com', ip='236.215.165.143'}, car=Car{color='#05177f', vin='JTHBK1GG3D2403989', company='GMC', model='Rally Wagon 3500', model_year='1993', price=12368.59}, location=Location{country='Czech Republic', city='Náklo'}, date=2020-03-28}
