Purchase{id=7, person=Person{name='Ilario', surname='Gillott', email='igillott6@cpanel.net', ip='48.182.6.82'}, car=Car{color='#c7590d', vin='WBAEH73465B522209', company='Ford', model='Thunderbird', model_year='1955', price=17700.70}, location=Location{country='Poland', city='Wapno'}, date=2020-06-04}
Purchase{id=265, person=Person{name='Natalya', surname='Bricksey', email='nbricksey7c@ning.com', ip='74.56.133.163'}, car=Car{color='#7f4c3c', vin='WAUEH98E17A705183', company='Ford', model='F-Series Super Duty', model_year='2010', price=63191.27}, location=Location{country='Czech Republic', city='Nové Sedlo'}, date=2020-10-19}
Purchase{id=273, person=Person{name='Aube', surname='Francescoccio', email='afrancescoccio7k@prlog.org', ip='22.178.52.163'}, car=Car{color='#3862a7', vin='5NPDH4AE2BH992904', company='Ford', model='E150', model_year='2011', price=89021.13}, location=Location{country='Poland', city='Krajenka'}, date=2020-12-04}
Purchase{id=275, person=Person{name='Marcello', surname='Jeckells', email='mjeckells7m@harvard.edu', ip='252.185.193.210'}, car=Car{color='#6f3d60', vin='1GD020CG5BF412929', company='Ford', model='Windstar', model_year='1997', price=19569.07}, location=Location{country='Poland', city='Zalewo'}, date=2020-04-21}
Purchase{id=293, person=Person{name='Cindra', surname='Beamond', email='cbeamond84@boston.com', ip='175.111.94.230'}, car=Car{color='#f5034f', vin='WUALNAFG3EN905239', company='Ford', model='F-Series Super Duty', model_year='2009', price=13314.57}, location=Location{country='Poland', city='Skołyszyn'}, date=2020-02-04}
Purchase{id=299, person=Person{name='Patty', surname='Forth', email='pforth8a@drupal.org', ip='172.12.7.62'}, car=Car{color='#e6e9eb', vin='1G4PN5SK3C4069415', company='Ford', model='Th!nk', model_year='2000', price=82727.44}, location=Location{country='Poland', city='Szczytno'}, date=2020-01-11}
Purchase{id=312, person=Person{name='Beaufort', surname='Martino', email='bmartino8n@cocolog-nifty.com', ip='190.191.57.54'}, car=Car{color='#c9d5d5', vin='1D4PT7GX6AW669778', company='Ford', model='Explorer', model_year='2003', price=99482.35}, location=Location{country='Czech Republic', city='Žiželice'}, date=2020-06-09}
Purchase{id=324, person=Person{name='Else', surname='Fermoy', email='efermoy8z@harvard.edu', ip='112.255.88.204'}, car=Car{color='#dabc1c', vin='3VW1K7AJXCM946040', company='Ford', model='Aerostar', model_year='1996', price=88852.80}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-08-30}
Purchase{id=325, person=Person{name='Ermengarde', surname='Andrea', email='eandrea90@admin.ch', ip='243.190.121.218'}, car=Car{color='#a12cc2', vin='JM1GJ1T61F1245135', company='Ford', model='Bronco', model_year='1996', price=2081.42}, location=Location{country='Poland', city='Błaszki'}, date=2020-12-21}
Purchase{id=336, person=Person{name='Priscilla', surname='Marchetti', email='pmarchetti9b@gizmodo.com', ip='89.39.130.238'}, car=Car{color='#22e8ec', vin='2HNYD28587H084328', company='Ford', model='E150', model_year='2008', price=62890.12}, location=Location{country='Czech Republic', city='Frýdlant'}, date=2020-09-26}
Purchase{id=344, person=Person{name='Brandy', surname='McGrail', email='bmcgrail9j@macromedia.com', ip='192.242.198.32'}, car=Car{color='#224310', vin='WBAYM1C5XED622526', company='Ford', model='Escort', model_year='1997', price=34041.27}, location=Location{country='Poland', city='Mrągowo'}, date=2020-08-01}
Purchase{id=351, person=Person{name='Gwenora', surname='Degg', email='gdegg9q@1688.com', ip='59.194.218.88'}, car=Car{color='#caa58e', vin='WAUDF98E17A098414', company='Ford', model='F450', model_year='2009', price=66244.66}, location=Location{country='Poland', city='Mirocin'}, date=2020-02-03}
Purchase{id=352, person=Person{name='Analise', surname='Yarnold', email='ayarnold9r@posterous.com', ip='164.84.24.93'}, car=Car{color='#444f87', vin='SALGR2WF9EA382325', company='Ford', model='F-Series', model_year='2009', price=33685.29}, location=Location{country='Denmark', city='København'}, date=2020-02-27}
Purchase{id=369, person=Person{name='Nicky', surname='MacGowing', email='nmacgowinga8@quantcast.com', ip='99.69.129.109'}, car=Car{color='#ffc287', vin='WBAWL73599P849496', company='Ford', model='F250', model_year='1996', price=49845.67}, location=Location{country='Poland', city='Głogów Małopolski'}, date=2020-10-28}
Purchase{id=380, person=Person{name='Ardelis', surname='Hammon', email='ahammonaj@harvard.edu', ip='171.197.104.147'}, car=Car{color='#7c787d', vin='JM1BL1L34C1082521', company='Ford', model='Thunderbird', model_year='1996', price=97447.57}, location=Location{country='Czech Republic', city='Vrbice'}, date=2020-12-20}
Purchase{id=384, person=Person{name='Keefe', surname='Itter', email='kitteran@tamu.edu', ip='4.37.211.183'}, car=Car{color='#2c9453', vin='WAUHFAFL2FN082752', company='Ford', model='F150', model_year='2009', price=33093.92}, location=Location{country='Poland', city='Nowy Dwór Gdański'}, date=2020-05-03}
Purchase{id=389, person=Person{name='Lorens', surname='Bowdon', email='lbowdonas@prnewswire.com', ip='7.53.16.209'}, car=Car{color='#042bf1', vin='1G4HP52K834840370', company='Ford', model='Taurus', model_year='1997', price=47935.84}, location=Location{country='Poland', city='Oleszyce'}, date=2020-06-09}
Purchase{id=394, person=Person{name='Maisey', surname='Ezzell', email='mezzellax@engadget.com', ip='181.40.242.15'}, car=Car{color='#0e0614', vin='3VWKX8AJ8BM364142', company='Ford', model='Mustang', model_year='1989', price=16980.37}, location=Location{country='Poland', city='Daszewice'}, date=2020-01-31}
Purchase{id=397, person=Person{name='Meggi', surname='Forder', email='mforderb0@usatoday.com', ip='122.222.35.226'}, car=Car{color='#e6f37d', vin='1G6AR5S38E0474593', company='Ford', model='Probe', model_year='1997', price=93767.17}, location=Location{country='Poland', city='Jasienica'}, date=2020-03-31}
Purchase{id=399, person=Person{name='Butch', surname='Olekhov', email='bolekhovb2@prweb.com', ip='146.160.157.144'}, car=Car{color='#c684be', vin='1ZVBP8JS3C5967807', company='Ford', model='Expedition', model_year='2012', price=65644.92}, location=Location{country='Poland', city='Duczki'}, date=2020-03-30}
Purchase{id=410, person=Person{name='Skipp', surname='Marages', email='smaragesbd@cdbaby.com', ip='159.86.54.129'}, car=Car{color='#1a3e31', vin='SCBBB7ZH8EC043594', company='Ford', model='Mustang', model_year='1990', price=68937.65}, location=Location{country='Czech Republic', city='Zbýšov'}, date=2020-12-17}
Purchase{id=429, person=Person{name='Will', surname='Campo', email='wcampobw@discovery.com', ip='52.44.53.42'}, car=Car{color='#630a19', vin='SCFEBBAK8BG489805', company='Ford', model='Transit Connect', model_year='2010', price=99772.91}, location=Location{country='Poland', city='Zebrzydowice'}, date=2020-05-29}
Purchase{id=437, person=Person{name='Francisca', surname='Fadian', email='ffadianc4@wikia.com', ip='38.138.246.222'}, car=Car{color='#9e7231', vin='SALAG2D46AA900530', company='Ford', model='Contour', model_year='1995', price=48603.83}, location=Location{country='Czech Republic', city='Kopidlno'}, date=2020-12-22}
Purchase{id=438, person=Person{name='Nixie', surname='Yukhov', email='nyukhovc5@hp.com', ip='42.134.119.242'}, car=Car{color='#d8d6cb', vin='WBAKE3C51BE835594', company='Ford', model='F150', model_year='1984', price=4494.16}, location=Location{country='Poland', city='Wolanów'}, date=2020-10-26}
Purchase{id=440, person=Person{name='Alexa', surname='Pallas', email='apallasc7@vkontakte.ru', ip='26.238.135.74'}, car=Car{color='#98f68b', vin='YV4902NC8F1971978', company='Ford', model='Expedition', model_year='2006', price=84550.06}, location=Location{country='Poland', city='Pewel Wielka'}, date=2020-07-12}
Purchase{id=441, person=Person{name='Robbert', surname='Rigmond', email='rrigmondc8@printfriendly.com', ip='75.231.166.208'}, car=Car{color='#616bdb', vin='2CTALMEC6B6435187', company='Ford', model='F350', model_year='2004', price=87470.45}, location=Location{country='Czech Republic', city='Doksy'}, date=2020-04-22}
Purchase{id=462, person=Person{name='Keslie', surname='Willock', email='kwillockct@exblog.jp', ip='21.38.185.203'}, car=Car{color='#bc77cb', vin='1N4AA5APXCC474959', company='Ford', model='Taurus', model_year='1997', price=46204.10}, location=Location{country='Czech Republic', city='Golčův Jeníkov'}, date=2020-01-19}
Purchase{id=468, person=Person{name='Sebastian', surname='Dincke', email='sdinckecz@about.me', ip='153.219.8.201'}, car=Car{color='#f7f05a', vin='SCFEBBDL7EG595087', company='Ford', model='Econoline E250', model_year='1995', price=45703.33}, location=Location{country='Czech Republic', city='Topolná'}, date=2020-10-12}
Purchase{id=472, person=Person{name='Laurene', surname='Leavry', email='lleavryd3@unblog.fr', ip='211.212.230.98'}, car=Car{color='#610af0', vin='1G6KD57Y76U239328', company='Ford', model='F-Series', model_year='2001', price=77382.36}, location=Location{country='Poland', city='Lubichowo'}, date=2020-06-29}
Purchase{id=487, person=Person{name='Carolus', surname='Count', email='ccountdi@unicef.org', ip='50.212.12.150'}, car=Car{color='#9e323e', vin='2G4WE587771126828', company='Ford', model='Thunderbird', model_year='1991', price=95092.28}, location=Location{country='Czech Republic', city='Žďár'}, date=2020-07-18}
Purchase{id=493, person=Person{name='Gracie', surname='Vreede', email='gvreededo@intel.com', ip='161.160.214.144'}, car=Car{color='#0c3773', vin='WAUKF78E46A139385', company='Ford', model='Probe', model_year='1996', price=51447.41}, location=Location{country='Poland', city='Libiąż'}, date=2020-03-26}
Purchase{id=494, person=Person{name='Glennis', surname='Alway', email='galwaydp@ameblo.jp', ip='161.10.131.73'}, car=Car{color='#dd1393', vin='WP0AB2A9XBS643101', company='Ford', model='Econoline E150', model_year='2001', price=4969.63}, location=Location{country='Czech Republic', city='Dobroměřice'}, date=2020-04-18}
Purchase{id=517, person=Person{name='Noel', surname='Poolton', email='npooltonec@google.ru', ip='109.124.254.47'}, car=Car{color='#0ef729', vin='5GAKRCED4BJ285019', company='Ford', model='F250', model_year='2003', price=24090.47}, location=Location{country='Denmark', city='København'}, date=2020-05-25}
Purchase{id=523, person=Person{name='Nanette', surname='Mansour', email='nmansourei@deviantart.com', ip='125.171.132.71'}, car=Car{color='#af0fa6', vin='KMHHT6KD5BU694754', company='Ford', model='Aerostar', model_year='1991', price=96676.64}, location=Location{country='Poland', city='Wierzchosławice'}, date=2020-11-22}
Purchase{id=550, person=Person{name='Andreana', surname='Matanin', email='amataninf9@github.com', ip='77.84.224.209'}, car=Car{color='#80503e', vin='3GYT4MEF1BG679596', company='Ford', model='Thunderbird', model_year='2004', price=6090.10}, location=Location{country='Poland', city='Korczew'}, date=2020-05-30}
Purchase{id=567, person=Person{name='Maye', surname='Seally', email='mseallyfq@exblog.jp', ip='55.34.149.55'}, car=Car{color='#6a59fa', vin='5FRYD3H64EB608631', company='Ford', model='Freestyle', model_year='2005', price=85917.70}, location=Location{country='Czech Republic', city='Mýto'}, date=2020-12-18}
Purchase{id=585, person=Person{name='Dagny', surname='Jinks', email='djinksg8@vistaprint.com', ip='82.122.109.56'}, car=Car{color='#693127', vin='5NPDH4AE0BH046817', company='Ford', model='Econoline E250', model_year='1994', price=20678.02}, location=Location{country='Czech Republic', city='Všenory'}, date=2020-06-05}
Purchase{id=586, person=Person{name='Cyndie', surname='Leirmonth', email='cleirmonthg9@google.com', ip='9.150.234.15'}, car=Car{color='#e1dee0', vin='3VW1K7AJ3FM479922', company='Ford', model='Econoline E150', model_year='2000', price=60157.99}, location=Location{country='Czech Republic', city='Chrást'}, date=2020-12-15}
Purchase{id=597, person=Person{name='Arabele', surname='Leblanc', email='aleblancgk@hp.com', ip='3.219.16.92'}, car=Car{color='#30b9d0', vin='1G4GA5GR5CF949859', company='Ford', model='Crown Victoria', model_year='2006', price=31058.64}, location=Location{country='Poland', city='Czarna Woda'}, date=2020-02-25}
Purchase{id=606, person=Person{name='Joel', surname='Biddell', email='jbiddellgt@is.gd', ip='30.138.171.71'}, car=Car{color='#8dd2f0', vin='WAUJC68EX3A565219', company='Ford', model='F-Series', model_year='1986', price=79599.82}, location=Location{country='Poland', city='Rudna Mała'}, date=2020-06-28}
Purchase{id=615, person=Person{name='Ewart', surname='Beatey', email='ebeateyh2@baidu.com', ip='89.246.110.48'}, car=Car{color='#ac0d64', vin='3D7TT2HT6AG705239', company='Ford', model='Ranger', model_year='2002', price=68096.90}, location=Location{country='Czech Republic', city='Žitenice'}, date=2020-12-20}
Purchase{id=617, person=Person{name='Fancy', surname='Hooban', email='fhoobanh4@mail.ru', ip='139.13.220.142'}, car=Car{color='#3c6447', vin='3GYFNDEY9AS621629', company='Ford', model='Mustang', model_year='1997', price=63872.86}, location=Location{country='Poland', city='Błaszki'}, date=2020-04-17}
Purchase{id=648, person=Person{name='Cecilla', surname='Sturges', email='csturgeshz@independent.co.uk', ip='118.169.114.153'}, car=Car{color='#7d1b40', vin='KM8JT3AB6DU726453', company='Ford', model='Tempo', model_year='1989', price=45282.09}, location=Location{country='Poland', city='Czerwonak'}, date=2020-06-26}
Purchase{id=649, person=Person{name='Phyllis', surname='Shufflebotham', email='pshufflebothami0@dedecms.com', ip='3.177.11.217'}, car=Car{color='#77f8f4', vin='3N1CN7AP3DL914323', company='Ford', model='Thunderbird', model_year='1958', price=15928.37}, location=Location{country='Poland', city='Główczyce'}, date=2020-04-14}
Purchase{id=652, person=Person{name='Mathew', surname='De Hooch', email='mdehoochi3@arizona.edu', ip='12.31.117.171'}, car=Car{color='#90e402', vin='WBAWL73587P081359', company='Ford', model='Explorer', model_year='2010', price=17174.29}, location=Location{country='Poland', city='Jeziora Wielkie'}, date=2020-06-03}
Purchase{id=661, person=Person{name='Simonette', surname='Buffham', email='sbuffhamic@hexun.com', ip='193.120.117.146'}, car=Car{color='#c86692', vin='WAUEFAFL1EN464563', company='Ford', model='Fusion', model_year='2006', price=84373.36}, location=Location{country='Czech Republic', city='Milín'}, date=2020-04-29}
Purchase{id=663, person=Person{name='Glennis', surname='Bletcher', email='gbletcherie@list-manage.com', ip='144.117.86.86'}, car=Car{color='#c849e2', vin='WP0AB2A96FS305040', company='Ford', model='Thunderbird', model_year='1986', price=69282.98}, location=Location{country='Poland', city='Bałtów'}, date=2020-03-10}
Purchase{id=665, person=Person{name='Laural', surname='Tinklin', email='ltinklinig@indiegogo.com', ip='78.172.205.113'}, car=Car{color='#8a2a5e', vin='JTDKDTB39F1453588', company='Ford', model='Taurus', model_year='2013', price=9832.25}, location=Location{country='Germany', city='München'}, date=2020-02-08}
Purchase{id=669, person=Person{name='Felike', surname='Hollidge', email='fhollidgeik@amazon.de', ip='101.243.96.130'}, car=Car{color='#e4408f', vin='5N1AR2MM6FC716049', company='Ford', model='Laser', model_year='1986', price=76248.04}, location=Location{country='Poland', city='Stare Pole'}, date=2020-10-29}
Purchase{id=679, person=Person{name='Loella', surname='Elbourn', email='lelbourniu@cafepress.com', ip='94.54.175.172'}, car=Car{color='#6b3a71', vin='WBAYB6C53FG398812', company='Ford', model='Econoline E350', model_year='1999', price=70090.25}, location=Location{country='Czech Republic', city='Topolná'}, date=2020-12-13}
Purchase{id=683, person=Person{name='Omero', surname='Giacopazzi', email='ogiacopazziiy@fc2.com', ip='97.54.211.180'}, car=Car{color='#4c4be0', vin='1G4GJ5E33DF921414', company='Ford', model='Ranger', model_year='1997', price=84884.07}, location=Location{country='Poland', city='Boleszkowice'}, date=2020-07-16}
Purchase{id=684, person=Person{name='Fredek', surname='Marjoram', email='fmarjoramiz@ca.gov', ip='231.132.21.93'}, car=Car{color='#4d6750', vin='1D4PT5GK0AW706476', company='Ford', model='E250', model_year='1984', price=98725.52}, location=Location{country='Poland', city='Maciejowice'}, date=2020-06-14}
Purchase{id=709, person=Person{name='Mark', surname='O'Coskerry', email='mocoskerryjo@jalbum.net', ip='210.137.210.180'}, car=Car{color='#9f6def', vin='1G6DC8EY3B0776957', company='Ford', model='Aerostar', model_year='1987', price=50162.31}, location=Location{country='Czech Republic', city='Všemina'}, date=2020-12-07}
Purchase{id=720, person=Person{name='Anthony', surname='Smeaton', email='asmeatonjz@feedburner.com', ip='190.166.165.237'}, car=Car{color='#51b296', vin='JM1DE1KY0E0899980', company='Ford', model='Escape', model_year='2012', price=9988.65}, location=Location{country='Poland', city='Trzciana'}, date=2020-06-01}
Purchase{id=725, person=Person{name='Maure', surname='Klimkiewich', email='mklimkiewichk4@cyberchimps.com', ip='33.107.49.141'}, car=Car{color='#9b4395', vin='WAUGGAFR3DA143978', company='Ford', model='E-Series', model_year='1992', price=20677.50}, location=Location{country='Poland', city='Sosnówka'}, date=2020-09-26}
Purchase{id=727, person=Person{name='Isidro', surname='Shackleford', email='ishacklefordk6@cmu.edu', ip='38.81.83.72'}, car=Car{color='#784e4f', vin='3D73M4EL7AG525006', company='Ford', model='Thunderbird', model_year='1990', price=43073.07}, location=Location{country='Poland', city='Łaziska Górne'}, date=2020-10-30}
Purchase{id=730, person=Person{name='Julie', surname='Power', email='jpowerk9@ihg.com', ip='212.159.150.43'}, car=Car{color='#428843', vin='WAUSH78E07A836919', company='Ford', model='Mustang', model_year='1986', price=51802.38}, location=Location{country='Poland', city='Rudniki'}, date=2020-01-01}
Purchase{id=743, person=Person{name='Phebe', surname='Aubry', email='paubrykm@samsung.com', ip='49.195.241.229'}, car=Car{color='#31b293', vin='WBA3T7C54F5397595', company='Ford', model='Thunderbird', model_year='1972', price=48238.70}, location=Location{country='Czech Republic', city='Měřín'}, date=2020-01-28}
Purchase{id=750, person=Person{name='Rowena', surname='Baudins', email='rbaudinskt@twitter.com', ip='234.20.48.161'}, car=Car{color='#5fccf5', vin='WAUWFBFL9AA874362', company='Ford', model='Freestar', model_year='2003', price=74898.80}, location=Location{country='Poland', city='Klimontów'}, date=2020-01-30}
Purchase{id=758, person=Person{name='Agnes', surname='Lingfoot', email='alingfootl1@eventbrite.com', ip='34.51.204.59'}, car=Car{color='#4c6a2e', vin='JM3TB2CA9D0750470', company='Ford', model='Laser', model_year='1987', price=68546.30}, location=Location{country='Poland', city='Gorzyczki'}, date=2020-05-27}
Purchase{id=761, person=Person{name='Ritchie', surname='D'Elias', email='rdeliasl4@arstechnica.com', ip='169.229.184.145'}, car=Car{color='#f68a48', vin='1G6DN8EV1A0298018', company='Ford', model='Mustang', model_year='1979', price=64996.18}, location=Location{country='Czech Republic', city='Velké Meziříčí'}, date=2020-08-15}
Purchase{id=824, person=Person{name='Goldia', surname='Churching', email='gchurchingmv@adobe.com', ip='245.138.53.86'}, car=Car{color='#0a24e7', vin='WAURV78T99A678833', company='Ford', model='F-Series', model_year='1995', price=43641.50}, location=Location{country='Czech Republic', city='Lysice'}, date=2020-11-10}
Purchase{id=849, person=Person{name='Jocelyne', surname='Orgel', email='jorgelnk@dropbox.com', ip='212.210.162.216'}, car=Car{color='#aa47e9', vin='WBA3C3C54FK696689', company='Ford', model='Five Hundred', model_year='2007', price=63582.71}, location=Location{country='Poland', city='Koło'}, date=2020-09-27}
Purchase{id=857, person=Person{name='Marrilee', surname='Lockett', email='mlockettns@jimdo.com', ip='111.25.31.216'}, car=Car{color='#00c3fd', vin='1G6DF8EY6B0927037', company='Ford', model='Festiva', model_year='1990', price=12769.30}, location=Location{country='Poland', city='Żółkiewka'}, date=2020-08-01}
Purchase{id=863, person=Person{name='Krista', surname='Stidworthy', email='kstidworthyny@blogs.com', ip='120.85.58.34'}, car=Car{color='#535dfb', vin='KMHGC4DE8AU481480', company='Ford', model='Tempo', model_year='1994', price=26658.03}, location=Location{country='Czech Republic', city='Červená Voda'}, date=2020-02-22}
Purchase{id=868, person=Person{name='Tomaso', surname='Batram', email='tbatramo3@weibo.com', ip='7.178.208.251'}, car=Car{color='#9225f2', vin='1FMJK1G53AE842351', company='Ford', model='Mustang', model_year='1984', price=7797.95}, location=Location{country='Poland', city='Trzebieszów'}, date=2020-10-24}
Purchase{id=873, person=Person{name='Wolfy', surname='Mellsop', email='wmellsopo8@mail.ru', ip='81.216.21.68'}, car=Car{color='#f0dc89', vin='1G6KD57Y89U071624', company='Ford', model='Taurus', model_year='1995', price=29025.54}, location=Location{country='Czech Republic', city='Libušín'}, date=2020-11-01}
Purchase{id=875, person=Person{name='Jobye', surname='Hagergham', email='jhagerghamoa@alexa.com', ip='161.209.113.42'}, car=Car{color='#741c62', vin='1GYS4KEF7CR319654', company='Ford', model='Thunderbird', model_year='2002', price=7168.15}, location=Location{country='Poland', city='Opatówek'}, date=2020-01-19}
Purchase{id=879, person=Person{name='Chuck', surname='Issakov', email='cissakovoe@sciencedirect.com', ip='223.65.229.197'}, car=Car{color='#57d774', vin='1G6DL67A380538037', company='Ford', model='Crown Victoria', model_year='2000', price=73911.07}, location=Location{country='Czech Republic', city='Třebíč'}, date=2020-01-26}
Purchase{id=897, person=Person{name='Carree', surname='McQuilliam', email='cmcquilliamow@apache.org', ip='156.82.244.189'}, car=Car{color='#8eef36', vin='WAUMF98P56A475178', company='Ford', model='F350', model_year='1993', price=24466.36}, location=Location{country='Poland', city='Lipka'}, date=2020-08-25}
Purchase{id=903, person=Person{name='Lorie', surname='Hainning', email='lhainningp2@ca.gov', ip='24.94.61.26'}, car=Car{color='#648e60', vin='JM1BL1L33C1799234', company='Ford', model='F250', model_year='2005', price=90231.67}, location=Location{country='Czech Republic', city='Zlonice'}, date=2020-04-11}
Purchase{id=912, person=Person{name='Ethel', surname='Earey', email='eeareypb@japanpost.jp', ip='94.73.137.15'}, car=Car{color='#7fafd8', vin='3N1AB7APXFY406422', company='Ford', model='Econoline E350', model_year='1992', price=24240.30}, location=Location{country='Poland', city='Rączna'}, date=2020-04-08}
Purchase{id=943, person=Person{name='Carmencita', surname='Tapner', email='ctapnerq6@quantcast.com', ip='158.69.125.245'}, car=Car{color='#475c40', vin='1N6AF0KX0EN805842', company='Ford', model='Taurus', model_year='1998', price=56689.77}, location=Location{country='Poland', city='Trawniki'}, date=2020-04-09}
Purchase{id=950, person=Person{name='Rasla', surname='Chambers', email='rchambersqd@europa.eu', ip='147.141.190.231'}, car=Car{color='#74723d', vin='19UYA42763A414787', company='Ford', model='Tempo', model_year='1985', price=10645.96}, location=Location{country='Czech Republic', city='Solnice'}, date=2020-07-14}
Purchase{id=953, person=Person{name='Puff', surname='Brignell', email='pbrignellqg@mit.edu', ip='102.112.241.176'}, car=Car{color='#c5592a', vin='WAUFL54D01N361760', company='Ford', model='E150', model_year='2012', price=59923.71}, location=Location{country='Poland', city='Chwaszczyno'}, date=2020-05-23}
Purchase{id=955, person=Person{name='Krysta', surname='Mannooch', email='kmannoochqi@dot.gov', ip='216.79.55.159'}, car=Car{color='#da0a25', vin='1GYUKHEF9AR264767', company='Ford', model='Crown Victoria', model_year='1998', price=91469.34}, location=Location{country='Poland', city='Zwierzyniec'}, date=2020-05-10}
