Purchase{id=4, person=Person{name='Bobinette', surname='Silversmid', email='bsilversmid3@va.gov', ip='235.128.129.91'}, car=Car{color='#430bbb', vin='3C4PDDDG8ET165757', company='Audi', model='A6', model_year='2002', price=14233.71}, location=Location{country='Poland', city='Parchowo'}, date=2020-02-04}
Purchase{id=456, person=Person{name='Arvin', surname='Giddins', email='agiddinscn@surveymonkey.com', ip='120.208.104.140'}, car=Car{color='#7f0e24', vin='WDDEJ7EBXDA815639', company='Audi', model='V8', model_year='1992', price=94151.66}, location=Location{country='Denmark', city='København'}, date=2020-09-20}
Purchase{id=485, person=Person{name='Vinnie', surname='Scafe', email='vscafedg@telegraph.co.uk', ip='61.247.182.230'}, car=Car{color='#2531aa', vin='1C3CDFBA5DD043407', company='Audi', model='S8', model_year='2002', price=17758.68}, location=Location{country='Poland', city='Sabnie'}, date=2020-05-12}
Purchase{id=492, person=Person{name='Amanda', surname='Hearns', email='ahearnsdn@google.com', ip='42.36.168.247'}, car=Car{color='#8b14e6', vin='5GAKVAKD5EJ909516', company='Audi', model='A3', model_year='2010', price=63016.06}, location=Location{country='Czech Republic', city='Horní Čermná'}, date=2020-06-25}
Purchase{id=502, person=Person{name='Elsy', surname='Nottle', email='enottledx@blogs.com', ip='116.162.235.90'}, car=Car{color='#b4bff1', vin='WBAET374X3N657500', company='Audi', model='A4', model_year='2001', price=57306.97}, location=Location{country='Poland', city='Łubniany'}, date=2020-01-26}
Purchase{id=506, person=Person{name='Alic', surname='Drayson', email='adraysone1@alexa.com', ip='176.227.48.66'}, car=Car{color='#770c3e', vin='WAUUL98E96A945333', company='Audi', model='A4', model_year='2005', price=48332.49}, location=Location{country='Poland', city='Tuchomie'}, date=2020-07-28}
Purchase{id=513, person=Person{name='Krispin', surname='Agiolfinger', email='kagiolfingere8@samsung.com', ip='102.153.227.205'}, car=Car{color='#0f1fb4', vin='JTDKN3DU9B0874200', company='Audi', model='A6', model_year='2005', price=11159.29}, location=Location{country='Poland', city='Wąsosz'}, date=2020-07-10}
Purchase{id=519, person=Person{name='Ricki', surname='Kornyakov', email='rkornyakovee@123-reg.co.uk', ip='78.242.149.171'}, car=Car{color='#bb665a', vin='WAUNF98P36A395303', company='Audi', model='TT', model_year='2004', price=66745.47}, location=Location{country='Poland', city='Przywidz'}, date=2020-03-17}
Purchase{id=524, person=Person{name='Kathrine', surname='Sewell', email='ksewellej@berkeley.edu', ip='148.11.93.147'}, car=Car{color='#21b279', vin='1G6DS5E35C0603934', company='Audi', model='S4', model_year='2002', price=99248.87}, location=Location{country='Poland', city='Gomunice'}, date=2020-02-14}
Purchase{id=628, person=Person{name='Goddart', surname='Addeycott', email='gaddeycotthf@squidoo.com', ip='25.127.246.9'}, car=Car{color='#b4d7c6', vin='WP1AA2A2XCL587402', company='Audi', model='5000S', model_year='1987', price=62830.11}, location=Location{country='Czech Republic', city='Podolí'}, date=2020-09-11}
Purchase{id=722, person=Person{name='Fabian', surname='Oxtoby', email='foxtobyk1@psu.edu', ip='135.138.148.20'}, car=Car{color='#af5902', vin='1GKS1CE07ER948290', company='Audi', model='A3', model_year='2006', price=2375.20}, location=Location{country='Czech Republic', city='Mnichovo Hradiště'}, date=2020-04-26}
Purchase{id=821, person=Person{name='Corbett', surname='Rheubottom', email='crheubottomms@umich.edu', ip='229.39.202.159'}, car=Car{color='#f3b1fd', vin='1FTSW3B53AE198429', company='Audi', model='Quattro', model_year='1994', price=49492.18}, location=Location{country='Poland', city='Korczyna'}, date=2020-06-26}
Purchase{id=923, person=Person{name='Ilario', surname='Trahmel', email='itrahmelpm@ifeng.com', ip='143.149.151.75'}, car=Car{color='#b11fc5', vin='3N1BC1AP1BL419856', company='Audi', model='S4', model_year='2000', price=31782.29}, location=Location{country='Poland', city='Dąbrowice'}, date=2020-01-29}
Purchase{id=964, person=Person{name='Robinette', surname='Laurence', email='rlaurenceqr@vk.com', ip='28.99.95.223'}, car=Car{color='#6ab30d', vin='3D7LT2ET8BG756568', company='Audi', model='A8', model_year='2000', price=25751.50}, location=Location{country='Poland', city='Chruszczobród'}, date=2020-03-30}
