Purchase{id=68, person=Person{name='Orsa', surname='Wilfling', email='owilfling1v@diigo.com', ip='53.136.57.107'}, car=Car{color='#0a2fad', vin='1D4RD4GG5BC716516', company='Buick', model='LeSabre', model_year='1985', price=7542.19}, location=Location{country='Czech Republic', city='Orlová'}, date=2020-05-15}
Purchase{id=521, person=Person{name='Denna', surname='Malkinson', email='dmalkinsoneg@odnoklassniki.ru', ip='84.65.184.157'}, car=Car{color='#188024', vin='SCBGR3ZA5DC630752', company='Buick', model='Rendezvous', model_year='2006', price=23783.83}, location=Location{country='Poland', city='Janowice'}, date=2020-11-30}
Purchase{id=533, person=Person{name='Mechelle', surname='Fountian', email='mfountianes@smh.com.au', ip='2.24.248.83'}, car=Car{color='#bbf877', vin='JHMZF1C60ES737771', company='Buick', model='Riviera', model_year='1986', price=42903.43}, location=Location{country='Czech Republic', city='Horní Čermná'}, date=2020-11-29}
Purchase{id=655, person=Person{name='Leopold', surname='Summerskill', email='lsummerskilli6@joomla.org', ip='253.163.146.186'}, car=Car{color='#2ae4e4', vin='3N6CM0KN0EK435379', company='Buick', model='LaCrosse', model_year='2010', price=52594.08}, location=Location{country='Czech Republic', city='Nezamyslice'}, date=2020-03-11}
Purchase{id=690, person=Person{name='Powell', surname='Sket', email='psketj5@friendfeed.com', ip='244.5.236.175'}, car=Car{color='#e539d9', vin='JTHBE5C27D5037364', company='Buick', model='Rendezvous', model_year='2005', price=98175.12}, location=Location{country='Poland', city='Stanowice'}, date=2020-01-04}
Purchase{id=715, person=Person{name='Grissel', surname='Prebble', email='gprebbleju@networkadvertising.org', ip='150.55.116.199'}, car=Car{color='#5f08db', vin='1G6DC67A480661314', company='Buick', model='Rainier', model_year='2004', price=80773.22}, location=Location{country='Poland', city='Wilkołaz'}, date=2020-12-02}
Purchase{id=731, person=Person{name='Berkie', surname='Milam', email='bmilamka@cloudflare.com', ip='138.169.71.151'}, car=Car{color='#88987b', vin='SALAC2D43CA044201', company='Buick', model='Century', model_year='2000', price=8718.64}, location=Location{country='Poland', city='Włoszczowa'}, date=2020-07-22}
Purchase{id=745, person=Person{name='Thia', surname='Glenny', email='tglennyko@printfriendly.com', ip='33.206.18.2'}, car=Car{color='#5631a3', vin='1N4AB7AP2EN430700', company='Buick', model='Estate', model_year='1989', price=81302.51}, location=Location{country='Czech Republic', city='Stará Huť'}, date=2020-03-27}
Purchase{id=763, person=Person{name='Roshelle', surname='Leber', email='rleberl6@histats.com', ip='12.69.173.234'}, car=Car{color='#e6fa6c', vin='WDDHF2EB7BA330597', company='Buick', model='Regal', model_year='2001', price=54411.09}, location=Location{country='Germany', city='München'}, date=2020-02-14}
Purchase{id=773, person=Person{name='Loreen', surname='Reeds', email='lreedslg@weather.com', ip='55.90.84.7'}, car=Car{color='#0b8a97', vin='1FT7W2A69EE627072', company='Buick', model='Park Avenue', model_year='2003', price=60691.83}, location=Location{country='Poland', city='Bogoria'}, date=2020-05-04}
Purchase{id=831, person=Person{name='Dunn', surname='Towl', email='dtowln2@about.com', ip='189.95.123.192'}, car=Car{color='#7469ed', vin='WA1DKAFP3CA540246', company='Buick', model='Roadmaster', model_year='1993', price=51829.87}, location=Location{country='Czech Republic', city='Šumperk'}, date=2020-12-04}
Purchase{id=874, person=Person{name='Sile', surname='Takkos', email='stakkoso9@scientificamerican.com', ip='9.238.116.134'}, car=Car{color='#b51f1c', vin='4T1BF3EK3BU925561', company='Buick', model='Lucerne', model_year='2006', price=2848.09}, location=Location{country='Poland', city='Piasek'}, date=2020-08-21}
