Purchase{id=32, person=Person{name='Cello', surname='Carroll', email='ccarrollv@spotify.com', ip='213.92.152.33'}, car=Car{color='#e24e3a', vin='JN8AZ1MU6CW935297', company='Mitsubishi', model='Truck', model_year='1987', price=67651.11}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-05-18}
Purchase{id=461, person=Person{name='Lenora', surname='Dymick', email='ldymickcs@businesswire.com', ip='162.204.7.157'}, car=Car{color='#0d386e', vin='1FTSX2B58AE390940', company='Mitsubishi', model='Eclipse', model_year='2008', price=60875.66}, location=Location{country='Poland', city='Wodzierady'}, date=2020-06-20}
Purchase{id=474, person=Person{name='Jack', surname='Wetherell', email='jwetherelld5@so-net.ne.jp', ip='182.74.238.120'}, car=Car{color='#500e59', vin='WAU3FAFR3AA975656', company='Mitsubishi', model='Truck', model_year='1995', price=16530.55}, location=Location{country='Czech Republic', city='Karolinka'}, date=2020-10-23}
Purchase{id=484, person=Person{name='Maynard', surname='Rabson', email='mrabsondf@e-recht24.de', ip='217.148.1.146'}, car=Car{color='#d4d13a', vin='SCFEBBDL8EG492602', company='Mitsubishi', model='Expo', model_year='1993', price=44918.65}, location=Location{country='Poland', city='Miasteczko Śląskie'}, date=2020-10-14}
Purchase{id=496, person=Person{name='Engracia', surname='McConigal', email='emcconigaldr@economist.com', ip='192.221.245.52'}, car=Car{color='#3ab50c', vin='KMHTC6AD1DU270115', company='Mitsubishi', model='Lancer Evolution', model_year='2005', price=47392.84}, location=Location{country='Germany', city='Berlin'}, date=2020-11-04}
Purchase{id=501, person=Person{name='Haven', surname='Leafe', email='hleafedw@livejournal.com', ip='9.135.206.218'}, car=Car{color='#db5bc9', vin='WAUBNBFB4AN689797', company='Mitsubishi', model='Starion', model_year='1987', price=90774.68}, location=Location{country='Poland', city='Oborniki Śląskie'}, date=2020-07-19}
Purchase{id=518, person=Person{name='Ronnie', surname='Reville', email='rrevilleed@e-recht24.de', ip='71.195.74.151'}, car=Car{color='#98fd16', vin='WAUEH78E17A803568', company='Mitsubishi', model='Raider', model_year='2006', price=30250.68}, location=Location{country='Czech Republic', city='Uherský Ostroh'}, date=2020-04-27}
Purchase{id=529, person=Person{name='Inge', surname='Gummary', email='igummaryeo@github.com', ip='171.26.33.125'}, car=Car{color='#740f37', vin='JA32X2HU2BU735127', company='Mitsubishi', model='Truck', model_year='1996', price=23585.47}, location=Location{country='Czech Republic', city='Dolní Lhota'}, date=2020-05-07}
Purchase{id=532, person=Person{name='Graehme', surname='Trow', email='gtrower@ehow.com', ip='76.126.31.158'}, car=Car{color='#bee854', vin='1G6DL8ED0B0041804', company='Mitsubishi', model='Eclipse', model_year='1995', price=12423.75}, location=Location{country='Poland', city='Strzelin'}, date=2020-05-13}
Purchase{id=540, person=Person{name='Mignonne', surname='Duberry', email='mduberryez@cbc.ca', ip='207.251.252.74'}, car=Car{color='#d2bbab', vin='5N1AA0NCXEN690091', company='Mitsubishi', model='Endeavor', model_year='2010', price=75776.61}, location=Location{country='Poland', city='Ochla'}, date=2020-04-05}
Purchase{id=578, person=Person{name='Bianka', surname='Dunford', email='bdunfordg1@is.gd', ip='252.215.226.204'}, car=Car{color='#f715db', vin='WAUKH94F07N082312', company='Mitsubishi', model='Mirage', model_year='1993', price=23504.15}, location=Location{country='Poland', city='Lubasz'}, date=2020-02-09}
Purchase{id=626, person=Person{name='Gale', surname='Cardon', email='gcardonhd@yolasite.com', ip='150.169.159.29'}, car=Car{color='#48db76', vin='WAUNF78P76A958955', company='Mitsubishi', model='Raider', model_year='2008', price=19402.45}, location=Location{country='Poland', city='Tarłów'}, date=2020-07-28}
Purchase{id=629, person=Person{name='Elston', surname='Perrygo', email='eperrygohg@homestead.com', ip='53.191.167.97'}, car=Car{color='#1568a9', vin='1G6AM5S31F0988575', company='Mitsubishi', model='Starion', model_year='1984', price=55346.91}, location=Location{country='Poland', city='Widuchowa'}, date=2020-05-01}
Purchase{id=644, person=Person{name='Essa', surname='Pamphilon', email='epamphilonhv@mysql.com', ip='45.140.26.241'}, car=Car{color='#289ccc', vin='WBACN53481L549243', company='Mitsubishi', model='Pajero', model_year='2005', price=78651.13}, location=Location{country='Poland', city='Lubasz'}, date=2020-05-10}
Purchase{id=650, person=Person{name='Sherm', surname='Prevett', email='sprevetti1@nature.com', ip='242.155.58.172'}, car=Car{color='#97bc5c', vin='JN1AJ0HP7AM004952', company='Mitsubishi', model='Pajero', model_year='1988', price=88876.44}, location=Location{country='Poland', city='Bodzechów'}, date=2020-11-25}
Purchase{id=662, person=Person{name='Valentia', surname='Culkin', email='vculkinid@barnesandnoble.com', ip='186.188.69.253'}, car=Car{color='#edce01', vin='3D73Y3CL1AG102536', company='Mitsubishi', model='Montero Sport', model_year='2003', price=10997.24}, location=Location{country='Poland', city='Czerniewice'}, date=2020-11-13}
Purchase{id=687, person=Person{name='Nicoli', surname='Traves', email='ntravesj2@pbs.org', ip='23.11.209.173'}, car=Car{color='#52460c', vin='3VW507AT9EM432711', company='Mitsubishi', model='Pajero', model_year='1993', price=87775.12}, location=Location{country='Poland', city='Namysłów'}, date=2020-09-13}
Purchase{id=691, person=Person{name='Carling', surname='Wyke', email='cwykej6@seattletimes.com', ip='170.139.150.129'}, car=Car{color='#50cd80', vin='WAUKFAFL9DN682154', company='Mitsubishi', model='GTO', model_year='1995', price=5804.80}, location=Location{country='Poland', city='Żernica'}, date=2020-08-20}
Purchase{id=695, person=Person{name='Aleda', surname='Muirhead', email='amuirheadja@bloomberg.com', ip='35.247.64.104'}, car=Car{color='#b478e4', vin='KM8JT3AB3DU734364', company='Mitsubishi', model='Lancer', model_year='2004', price=25092.29}, location=Location{country='Denmark', city='København'}, date=2020-10-14}
Purchase{id=736, person=Person{name='Bryan', surname='Thiolier', email='bthiolierkf@delicious.com', ip='183.200.133.169'}, car=Car{color='#e3825f', vin='WBA3N9C54EK059510', company='Mitsubishi', model='Pajero', model_year='2002', price=40611.47}, location=Location{country='Czech Republic', city='Bílovec'}, date=2020-02-18}
Purchase{id=810, person=Person{name='Cathrine', surname='Baysting', email='cbaystingmh@slashdot.org', ip='127.42.205.62'}, car=Car{color='#555fa6', vin='1FTWW3DY2AE410486', company='Mitsubishi', model='GTO', model_year='1997', price=54508.40}, location=Location{country='Poland', city='Izbicko'}, date=2020-03-10}
Purchase{id=814, person=Person{name='Adria', surname='Kmiec', email='akmiecml@forbes.com', ip='108.75.144.161'}, car=Car{color='#af68ea', vin='KMHCM3AC0BU954573', company='Mitsubishi', model='Lancer Evolution', model_year='2011', price=48174.13}, location=Location{country='Poland', city='Mirów'}, date=2020-07-31}
Purchase{id=823, person=Person{name='Iona', surname='Hurdidge', email='ihurdidgemu@craigslist.org', ip='5.11.204.5'}, car=Car{color='#fd1967', vin='JTHBC1KS7B5733378', company='Mitsubishi', model='Challenger', model_year='1999', price=24182.93}, location=Location{country='Poland', city='Latowicz'}, date=2020-06-26}
Purchase{id=856, person=Person{name='Neddy', surname='Danihelka', email='ndanihelkanr@cmu.edu', ip='210.3.20.110'}, car=Car{color='#a95560', vin='1FTEX1CM0CF350961', company='Mitsubishi', model='Truck', model_year='1992', price=26599.44}, location=Location{country='Poland', city='Wilkowice'}, date=2020-08-06}
Purchase{id=880, person=Person{name='Morlee', surname='Blacklawe', email='mblacklaweof@domainmarket.com', ip='251.250.227.153'}, car=Car{color='#7a1d81', vin='2HNYD28267H388036', company='Mitsubishi', model='Endeavor', model_year='2009', price=4000.68}, location=Location{country='Czech Republic', city='Sezemice'}, date=2020-12-12}
Purchase{id=895, person=Person{name='Barnett', surname='Britcher', email='bbritcherou@blog.com', ip='43.219.219.175'}, car=Car{color='#33d7a0', vin='1GYS4HEF4CR449006', company='Mitsubishi', model='Starion', model_year='1984', price=73629.88}, location=Location{country='Poland', city='Żarki-Letnisko'}, date=2020-12-07}
Purchase{id=927, person=Person{name='Kareem', surname='Rheam', email='krheampq@unblog.fr', ip='239.86.70.84'}, car=Car{color='#755613', vin='WBA6B8C58FD828998', company='Mitsubishi', model='Eclipse', model_year='1999', price=86159.35}, location=Location{country='Poland', city='Wysoka'}, date=2020-09-10}
Purchase{id=936, person=Person{name='Paxton', surname='Romme', email='prommepz@arstechnica.com', ip='57.101.216.153'}, car=Car{color='#4dbe83', vin='1FBNE3BL4BD056729', company='Mitsubishi', model='Pajero', model_year='1988', price=42986.39}, location=Location{country='Poland', city='Obryte'}, date=2020-06-26}
Purchase{id=983, person=Person{name='Andrus', surname='Sutterby', email='asutterbyra@godaddy.com', ip='160.244.236.27'}, car=Car{color='#b422c6', vin='1FTWX3D57AE721169', company='Mitsubishi', model='Mirage', model_year='1988', price=88972.98}, location=Location{country='Denmark', city='København'}, date=2020-12-21}
Purchase{id=997, person=Person{name='Angy', surname='Tait', email='ataitro@ustream.tv', ip='158.170.176.89'}, car=Car{color='#3a4344', vin='5GAKRAED6CJ976705', company='Mitsubishi', model='Montero', model_year='1999', price=14036.44}, location=Location{country='Poland', city='Mosina'}, date=2020-06-01}
