Purchase{id=29, person=Person{name='Sacha', surname='Lamport', email='slamports@psu.edu', ip='134.108.190.141'}, car=Car{color='#cc8cd1', vin='YV1952AS8D1054810', company='Pontiac', model='Solstice', model_year='2006', price=20647.67}, location=Location{country='Czech Republic', city='Vidče'}, date=2020-05-14}
Purchase{id=333, person=Person{name='Curt', surname='Billie', email='cbillie98@blogger.com', ip='250.19.215.70'}, car=Car{color='#cd2e07', vin='JH4CU25649C906270', company='Pontiac', model='G8', model_year='2008', price=1514.04}, location=Location{country='Poland', city='Mniszków'}, date=2020-08-12}
Purchase{id=379, person=Person{name='Danie', surname='Coney', email='dconeyai@si.edu', ip='242.228.214.5'}, car=Car{color='#3df28c', vin='SCBBR9ZA6BC727596', company='Pontiac', model='Grand Prix', model_year='1991', price=66983.14}, location=Location{country='Czech Republic', city='Dolní Cerekev'}, date=2020-06-18}
Purchase{id=382, person=Person{name='Clerkclaude', surname='Gilliland', email='cgillilandal@123-reg.co.uk', ip='22.20.180.179'}, car=Car{color='#dac840', vin='WUATNAFGXBN933552', company='Pontiac', model='G8', model_year='2008', price=43318.68}, location=Location{country='Poland', city='Chrząstowice'}, date=2020-11-13}
Purchase{id=428, person=Person{name='Iggie', surname='Adame', email='iadamebv@bing.com', ip='13.35.45.112'}, car=Car{color='#30cddb', vin='WAUJF98K29N059934', company='Pontiac', model='LeMans', model_year='1989', price=60284.14}, location=Location{country='Czech Republic', city='Petřvald'}, date=2020-02-03}
Purchase{id=464, person=Person{name='Krystle', surname='Prendeville', email='kprendevillecv@epa.gov', ip='247.40.183.193'}, car=Car{color='#7ee9ff', vin='1GD020CG3DZ842010', company='Pontiac', model='Bonneville', model_year='1986', price=79501.76}, location=Location{country='Poland', city='Widuchowa'}, date=2020-05-12}
Purchase{id=495, person=Person{name='Clevie', surname='Bussey', email='cbusseydq@hhs.gov', ip='215.240.107.38'}, car=Car{color='#803171', vin='1ZVBP8AN1A5526121', company='Pontiac', model='Sunbird', model_year='1985', price=88574.10}, location=Location{country='Poland', city='Częstochowa'}, date=2020-09-14}
Purchase{id=500, person=Person{name='Pammy', surname='Unwin', email='punwindv@quantcast.com', ip='183.158.192.201'}, car=Car{color='#f7f4a7', vin='JN8AZ1MU4DW418579', company='Pontiac', model='LeMans', model_year='1968', price=88662.66}, location=Location{country='Poland', city='Nidek'}, date=2020-12-16}
Purchase{id=564, person=Person{name='Paten', surname='Daws', email='pdawsfn@xing.com', ip='214.18.241.80'}, car=Car{color='#acf264', vin='JA4AP3AUXBZ849001', company='Pontiac', model='Grand Prix', model_year='1990', price=51170.69}, location=Location{country='Poland', city='Ursus'}, date=2020-12-09}
Purchase{id=602, person=Person{name='Merrill', surname='Ault', email='maultgp@pagesperso-orange.fr', ip='52.158.43.233'}, car=Car{color='#17f924', vin='3VWC17AU5FM660946', company='Pontiac', model='LeMans', model_year='1990', price=81005.80}, location=Location{country='Poland', city='Czerwonak'}, date=2020-11-29}
Purchase{id=623, person=Person{name='Berny', surname='Moreno', email='bmorenoha@google.com', ip='212.238.28.154'}, car=Car{color='#ec0915', vin='JN8AE2KP6E9204806', company='Pontiac', model='Grand Prix', model_year='1974', price=75406.97}, location=Location{country='Poland', city='Mosina'}, date=2020-05-29}
Purchase{id=689, person=Person{name='Kimble', surname='Tomsu', email='ktomsuj4@google.it', ip='18.238.212.102'}, car=Car{color='#1db3dc', vin='1G6D05EG8A0239109', company='Pontiac', model='Fiero', model_year='1984', price=8202.10}, location=Location{country='Poland', city='Mirzec'}, date=2020-03-24}
Purchase{id=721, person=Person{name='Josefina', surname='Minto', email='jmintok0@altervista.org', ip='37.169.220.58'}, car=Car{color='#c27af5', vin='2B3CK4CV8AH592607', company='Pontiac', model='G6', model_year='2007', price=44112.55}, location=Location{country='Poland', city='Drzewica'}, date=2020-10-31}
Purchase{id=737, person=Person{name='Port', surname='Dennington', email='pdenningtonkg@trellian.com', ip='239.195.141.98'}, car=Car{color='#0dd7dd', vin='2C3CCAAG5EH125508', company='Pontiac', model='Grand Prix', model_year='1966', price=9921.56}, location=Location{country='Poland', city='Zbąszyń'}, date=2020-06-28}
Purchase{id=760, person=Person{name='Tony', surname='Jiran', email='tjiranl3@admin.ch', ip='101.27.81.161'}, car=Car{color='#63533e', vin='WAUFFAFL1FA834942', company='Pontiac', model='GTO', model_year='1972', price=86303.79}, location=Location{country='Slovakia', city='Bratislava'}, date=2020-04-15}
Purchase{id=783, person=Person{name='Pete', surname='Vala', email='pvalalq@reference.com', ip='158.119.73.26'}, car=Car{color='#016608', vin='WAUDG94F36N580871', company='Pontiac', model='Vibe', model_year='2010', price=13702.26}, location=Location{country='Czech Republic', city='Kunčice pod Ondřejníkem'}, date=2020-01-02}
Purchase{id=793, person=Person{name='Lula', surname='Langthorne', email='llangthornem0@sciencedaily.com', ip='70.18.129.64'}, car=Car{color='#d20bc0', vin='JA32U2FU0EU192151', company='Pontiac', model='Grand Am', model_year='2000', price=31178.86}, location=Location{country='Czech Republic', city='Vyškov'}, date=2020-07-18}
Purchase{id=800, person=Person{name='Leicester', surname='Taberer', email='ltabererm7@harvard.edu', ip='113.225.210.40'}, car=Car{color='#0f485f', vin='1G6DB1EDXB0637366', company='Pontiac', model='G6', model_year='2008', price=36745.87}, location=Location{country='Poland', city='Mirzec'}, date=2020-11-09}
Purchase{id=830, person=Person{name='Alfons', surname='Dine-Hart', email='adinehartn1@yelp.com', ip='124.100.164.80'}, car=Car{color='#a8095d', vin='SAJWA6BC3F8490138', company='Pontiac', model='Trans Sport', model_year='1993', price=305.73}, location=Location{country='Poland', city='Czemierniki'}, date=2020-11-04}
Purchase{id=858, person=Person{name='Gay', surname='Tait', email='gtaitnt@devhub.com', ip='234.234.185.41'}, car=Car{color='#e6a7ea', vin='WBAUN1C57CV917716', company='Pontiac', model='LeMans', model_year='1966', price=88280.13}, location=Location{country='Poland', city='Ostroróg'}, date=2020-08-28}
Purchase{id=898, person=Person{name='Cosette', surname='Mead', email='cmeadox@indiatimes.com', ip='199.65.212.112'}, car=Car{color='#190d96', vin='1GYS4GEF4BR314990', company='Pontiac', model='G5', model_year='2009', price=453.87}, location=Location{country='Poland', city='Wiślica'}, date=2020-02-28}
Purchase{id=904, person=Person{name='Marty', surname='Sambath', email='msambathp3@taobao.com', ip='153.53.186.40'}, car=Car{color='#9c3f17', vin='1GYS4HEF8CR671595', company='Pontiac', model='Firebird', model_year='1984', price=98532.02}, location=Location{country='Poland', city='Parczew'}, date=2020-12-10}
Purchase{id=935, person=Person{name='Bram', surname='Lanfranchi', email='blanfranchipy@goo.ne.jp', ip='230.36.180.14'}, car=Car{color='#6edf42', vin='3VW467AT6DM667835', company='Pontiac', model='Vibe', model_year='2006', price=76578.31}, location=Location{country='Poland', city='Nysa'}, date=2020-02-10}
Purchase{id=947, person=Person{name='Basilio', surname='Patise', email='bpatiseqa@webnode.com', ip='43.59.160.162'}, car=Car{color='#b4e05c', vin='WBAAV534X1J077968', company='Pontiac', model='Montana', model_year='2006', price=49063.18}, location=Location{country='Poland', city='Bobolice'}, date=2020-02-27}
Purchase{id=984, person=Person{name='Ashleigh', surname='Stolte', email='astolterb@telegraph.co.uk', ip='2.72.157.148'}, car=Car{color='#64d3ea', vin='JN1AZ4EH0BM689522', company='Pontiac', model='LeMans', model_year='1990', price=65315.34}, location=Location{country='Czech Republic', city='Lučina'}, date=2020-10-02}
