Purchase{id=76, person=Person{name='Ben', surname='Yarwood', email='byarwood23@creativecommons.org', ip='118.169.87.59'}, car=Car{color='#ff6af6', vin='WBA6B4C59DD511334', company='Nissan', model='300ZX', model_year='1991', price=12845.04}, location=Location{country='Poland', city='Borzęcin'}, date=2020-10-02}
Purchase{id=418, person=Person{name='Silvan', surname='Gearing', email='sgearingbl@desdev.cn', ip='142.115.61.196'}, car=Car{color='#deee1b', vin='WDDEJ7GB4AA134398', company='Nissan', model='Altima', model_year='1996', price=21401.25}, location=Location{country='Poland', city='Raciąż'}, date=2020-11-27}
Purchase{id=505, person=Person{name='Raddy', surname='Gerrelt', email='rgerrelte0@addtoany.com', ip='109.175.0.64'}, car=Car{color='#96317d', vin='WBA1F5C56FV607357', company='Nissan', model='Xterra', model_year='2002', price=83887.99}, location=Location{country='Poland', city='Działdowo'}, date=2020-07-06}
Purchase{id=538, person=Person{name='Jereme', surname='Heyward', email='jheywardex@hao123.com', ip='200.177.128.150'}, car=Car{color='#8378c9', vin='3G5DA03L57S121587', company='Nissan', model='Altima', model_year='2002', price=97208.51}, location=Location{country='Czech Republic', city='Dolní Studénky'}, date=2020-05-02}
Purchase{id=541, person=Person{name='Deborah', surname='Chessun', email='dchessunf0@shinystat.com', ip='68.208.158.151'}, car=Car{color='#8f9dba', vin='1G4HC5EM3BU002416', company='Nissan', model='Datsun/Nissan Z-car', model_year='1990', price=65142.23}, location=Location{country='Poland', city='Psary'}, date=2020-05-27}
Purchase{id=544, person=Person{name='Rawley', surname='Fryman', email='rfrymanf3@edublogs.org', ip='247.204.75.243'}, car=Car{color='#4b9010', vin='WDDUG7GB5FA114193', company='Nissan', model='Maxima', model_year='1995', price=55147.67}, location=Location{country='Poland', city='Sokolniki'}, date=2020-07-26}
Purchase{id=574, person=Person{name='Alessandra', surname='Cloke', email='aclokefx@slashdot.org', ip='212.223.187.227'}, car=Car{color='#48e196', vin='5XXGM4A75EG929645', company='Nissan', model='Altima', model_year='2000', price=55524.45}, location=Location{country='Poland', city='Rudziczka'}, date=2020-01-09}
Purchase{id=580, person=Person{name='Ulrika', surname='Wroughton', email='uwroughtong3@tuttocitta.it', ip='141.163.147.147'}, car=Car{color='#ce965e', vin='WAUMR44E66N492420', company='Nissan', model='200SX', model_year='1998', price=41834.99}, location=Location{country='Czech Republic', city='Okrouhlice'}, date=2020-06-06}
Purchase{id=616, person=Person{name='Early', surname='Fury', email='efuryh3@adobe.com', ip='160.189.87.14'}, car=Car{color='#9b18ac', vin='WBA4A7C58FG184938', company='Nissan', model='Pathfinder Armada', model_year='2004', price=96775.20}, location=Location{country='Poland', city='Mosty'}, date=2020-02-24}
Purchase{id=621, person=Person{name='Nolana', surname='Semonin', email='nsemoninh8@scribd.com', ip='171.134.28.14'}, car=Car{color='#2287d9', vin='1G6DC8EY1B0437632', company='Nissan', model='Titan', model_year='2007', price=41050.28}, location=Location{country='Poland', city='Skrzydlna'}, date=2020-12-08}
Purchase{id=624, person=Person{name='Danica', surname='Herion', email='dherionhb@google.es', ip='237.229.127.126'}, car=Car{color='#c92c1b', vin='WAUAF78E48A769308', company='Nissan', model='Pathfinder', model_year='1998', price=60327.03}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-11-14}
Purchase{id=714, person=Person{name='Alexandra', surname='Whitehorne', email='awhitehornejt@bravesites.com', ip='37.60.232.254'}, car=Car{color='#7a2163', vin='WAUDK78T28A918435', company='Nissan', model='Quest', model_year='2012', price=4025.41}, location=Location{country='Poland', city='Wilkowice'}, date=2020-06-30}
Purchase{id=751, person=Person{name='Georgina', surname='Darth', email='gdarthku@amazon.com', ip='39.214.180.208'}, car=Car{color='#6b88b1', vin='4T1BF1FK7EU562107', company='Nissan', model='Datsun/Nissan Z-car', model_year='1990', price=88329.10}, location=Location{country='Poland', city='Piekoszów'}, date=2020-02-08}
Purchase{id=778, person=Person{name='Tarra', surname='Lenglet', email='tlengletll@cbc.ca', ip='19.250.195.211'}, car=Car{color='#8dfad5', vin='KMHCT4AE5EU157928', company='Nissan', model='Altima', model_year='1997', price=37540.55}, location=Location{country='Czech Republic', city='Lučina'}, date=2020-01-31}
Purchase{id=816, person=Person{name='Rickie', surname='Cassey', email='rcasseymn@smh.com.au', ip='96.24.231.41'}, car=Car{color='#99f60c', vin='2CTALMEC2B6053108', company='Nissan', model='300ZX', model_year='1995', price=84230.04}, location=Location{country='Czech Republic', city='Zásmuky'}, date=2020-08-23}
Purchase{id=835, person=Person{name='Helaina', surname='Pinkie', email='hpinkien6@rediff.com', ip='189.225.239.64'}, car=Car{color='#6ac869', vin='1FTWW3A5XAE602524', company='Nissan', model='Pathfinder', model_year='2009', price=96390.02}, location=Location{country='Poland', city='Moryń'}, date=2020-01-14}
Purchase{id=852, person=Person{name='Cesare', surname='Loyndon', email='cloyndonnn@vimeo.com', ip='38.50.54.89'}, car=Car{color='#f06683', vin='WAUAGAFD1EN016425', company='Nissan', model='Pathfinder', model_year='2001', price=25406.17}, location=Location{country='Czech Republic', city='České Meziříčí'}, date=2020-03-05}
Purchase{id=887, person=Person{name='Grissel', surname='Rudall', email='grudallom@java.com', ip='31.136.221.217'}, car=Car{color='#052a83', vin='3VW467ATXCM868684', company='Nissan', model='350Z', model_year='2003', price=39853.04}, location=Location{country='Poland', city='Gostyń'}, date=2020-02-21}
Purchase{id=893, person=Person{name='Arlinda', surname='Pitkeathly', email='apitkeathlyos@forbes.com', ip='177.233.232.169'}, car=Car{color='#355fad', vin='1GD422CGXEF710085', company='Nissan', model='Altima', model_year='2007', price=45725.23}, location=Location{country='Germany', city='Heilbronn'}, date=2020-08-03}
Purchase{id=920, person=Person{name='Joelynn', surname='Crellin', email='jcrellinpj@amazon.de', ip='42.196.103.227'}, car=Car{color='#9bcf64', vin='SCFEFBBC1AG391287', company='Nissan', model='Frontier', model_year='1998', price=20489.68}, location=Location{country='Czech Republic', city='Chrast'}, date=2020-07-06}
Purchase{id=932, person=Person{name='Woodman', surname='Hallt', email='whalltpv@cargocollective.com', ip='23.206.149.175'}, car=Car{color='#045ec0', vin='SCFAB01A27G820797', company='Nissan', model='Quest', model_year='2005', price=39077.60}, location=Location{country='Poland', city='Bardo'}, date=2020-02-14}
Purchase{id=948, person=Person{name='Ferrel', surname='Eastmead', email='feastmeadqb@statcounter.com', ip='197.196.86.29'}, car=Car{color='#25425d', vin='3N1AB6AP7CL224826', company='Nissan', model='Sentra', model_year='1993', price=85674.67}, location=Location{country='Poland', city='Grzmiąca'}, date=2020-06-28}
Purchase{id=971, person=Person{name='Vivianne', surname='Boscher', email='vboscherqy@nationalgeographic.com', ip='186.167.165.72'}, car=Car{color='#15e946', vin='WA1LKBFP8AA191325', company='Nissan', model='Altima', model_year='2002', price=97803.65}, location=Location{country='Poland', city='Knurów'}, date=2020-05-07}
Purchase{id=976, person=Person{name='Brooke', surname='Ary', email='baryr3@rambler.ru', ip='177.126.58.141'}, car=Car{color='#a68aa5', vin='3C4PDDAG6ET999823', company='Nissan', model='GT-R', model_year='2011', price=3222.64}, location=Location{country='Poland', city='Janowice'}, date=2020-06-05}
Purchase{id=978, person=Person{name='Alia', surname='Bench', email='abenchr5@linkedin.com', ip='253.54.252.141'}, car=Car{color='#fb903e', vin='WBANA53515B514097', company='Nissan', model='Pathfinder', model_year='2012', price=36887.35}, location=Location{country='Czech Republic', city='Moravská Třebová'}, date=2020-01-01}
Purchase{id=985, person=Person{name='Neile', surname='Dany', email='ndanyrc@dion.ne.jp', ip='37.212.164.245'}, car=Car{color='#9a0f16', vin='1G6KF57973U932155', company='Nissan', model='Xterra', model_year='2006', price=7004.45}, location=Location{country='Poland', city='Jawor'}, date=2020-12-17}
