Purchase{id=27, person=Person{name='Carmen', surname='Bowen', email='cbowenq@nationalgeographic.com', ip='63.239.51.206'}, car=Car{color='#3fb1cf', vin='WAUGL98E25A270887', company='Mercedes-Benz', model='E-Class', model_year='2005', price=59050.98}, location=Location{country='Germany', city='Kassel'}, date=2020-03-14}
Purchase{id=608, person=Person{name='Niki', surname='Ramshay', email='nramshaygv@buzzfeed.com', ip='202.36.11.136'}, car=Car{color='#2f46a1', vin='JTMHY7AJ8E4324454', company='Mercedes-Benz', model='R-Class', model_year='2006', price=19967.40}, location=Location{country='Czech Republic', city='Sviadnov'}, date=2020-06-10}
Purchase{id=611, person=Person{name='Don', surname='Nuemann', email='dnuemanngy@rediff.com', ip='208.98.91.86'}, car=Car{color='#3c0bc2', vin='1G4HP52KX4U461274', company='Mercedes-Benz', model='S-Class', model_year='2008', price=80139.84}, location=Location{country='Germany', city='Hamburg'}, date=2020-10-03}
Purchase{id=635, person=Person{name='Helli', surname='Atchly', email='hatchlyhm@hatena.ne.jp', ip='132.170.78.198'}, car=Car{color='#d965a1', vin='2HNYD18293H884663', company='Mercedes-Benz', model='SLK-Class', model_year='2011', price=69094.53}, location=Location{country='Poland', city='Kabaty'}, date=2020-05-30}
Purchase{id=656, person=Person{name='Clyve', surname='Hart', email='charti7@rediff.com', ip='2.166.229.34'}, car=Car{color='#42cc46', vin='TRURD28N461598920', company='Mercedes-Benz', model='SLR McLaren', model_year='2007', price=98123.27}, location=Location{country='Poland', city='Drobin'}, date=2020-07-26}
Purchase{id=659, person=Person{name='Doloritas', surname='Finker', email='dfinkeria@unicef.org', ip='117.203.210.120'}, car=Car{color='#1b0751', vin='SCBLE47K88C474045', company='Mercedes-Benz', model='CL65 AMG', model_year='2009', price=59195.01}, location=Location{country='Poland', city='Wierzchosławice'}, date=2020-08-30}
Purchase{id=680, person=Person{name='Waylin', surname='Sofe', email='wsofeiv@berkeley.edu', ip='62.163.35.64'}, car=Car{color='#417bbe', vin='YV4902DZ0B2091187', company='Mercedes-Benz', model='G-Class', model_year='2012', price=30421.46}, location=Location{country='Czech Republic', city='Lípa'}, date=2020-12-27}
Purchase{id=710, person=Person{name='Liuka', surname='Gronno', email='lgronnojp@clickbank.net', ip='24.237.139.160'}, car=Car{color='#63b385', vin='5N1AN0NU5DN788618', company='Mercedes-Benz', model='SLK-Class', model_year='2008', price=17927.78}, location=Location{country='Poland', city='Nowa Góra'}, date=2020-01-11}
Purchase{id=729, person=Person{name='Tierney', surname='Bullent', email='tbullentk8@ibm.com', ip='8.8.111.155'}, car=Car{color='#f2bd67', vin='1C4AJWAG0FL779908', company='Mercedes-Benz', model='M-Class', model_year='2010', price=76751.56}, location=Location{country='Poland', city='Kamieniec Wrocławski'}, date=2020-01-06}
Purchase{id=733, person=Person{name='Gaylord', surname='Dosedale', email='gdosedalekc@hugedomains.com', ip='202.25.221.17'}, car=Car{color='#2b1164', vin='1C3CCBAG0EN919801', company='Mercedes-Benz', model='SL-Class', model_year='2009', price=81517.63}, location=Location{country='Czech Republic', city='Višňova'}, date=2020-03-04}
Purchase{id=740, person=Person{name='Philippine', surname='Newman', email='pnewmankj@github.io', ip='32.160.93.106'}, car=Car{color='#734857', vin='2HNYD288X8H248397', company='Mercedes-Benz', model='S-Class', model_year='1989', price=32875.67}, location=Location{country='Czech Republic', city='Vyškov'}, date=2020-02-11}
Purchase{id=781, person=Person{name='Kerry', surname='Eaddy', email='keaddylo@livejournal.com', ip='179.65.199.129'}, car=Car{color='#a3be82', vin='1FTEW1CFXFK468130', company='Mercedes-Benz', model='SL-Class', model_year='1994', price=4799.02}, location=Location{country='Poland', city='Zielona Góra'}, date=2020-12-28}
Purchase{id=785, person=Person{name='Elton', surname='MacLaughlin', email='emaclaughlinls@feedburner.com', ip='63.57.95.167'}, car=Car{color='#d981fa', vin='WVGAV7AX9FW335673', company='Mercedes-Benz', model='C-Class', model_year='1999', price=87503.18}, location=Location{country='Czech Republic', city='Petrov'}, date=2020-04-15}
Purchase{id=796, person=Person{name='Florence', surname='Shepton', email='fsheptonm3@mapy.cz', ip='4.65.18.55'}, car=Car{color='#772c62', vin='1GD422CG5EF564985', company='Mercedes-Benz', model='CL-Class', model_year='2006', price=77944.64}, location=Location{country='Czech Republic', city='Bludov'}, date=2020-03-10}
Purchase{id=805, person=Person{name='Darline', surname='Yakobowitz', email='dyakobowitzmc@etsy.com', ip='187.112.158.190'}, car=Car{color='#59c853', vin='JN8AS1MU1AM533426', company='Mercedes-Benz', model='E-Class', model_year='1996', price=54876.31}, location=Location{country='Czech Republic', city='Předměřice nad Labem'}, date=2020-05-04}
Purchase{id=811, person=Person{name='Radcliffe', surname='Petit', email='rpetitmi@bloglovin.com', ip='183.151.43.158'}, car=Car{color='#f56d72', vin='5N1BA0NE5FN170324', company='Mercedes-Benz', model='SL-Class', model_year='2003', price=66284.37}, location=Location{country='Poland', city='Sędziejowice'}, date=2020-12-11}
Purchase{id=819, person=Person{name='Babette', surname='Brayshaw', email='bbrayshawmq@tamu.edu', ip='252.133.3.111'}, car=Car{color='#4b9540', vin='3D73Y3CL4BG766346', company='Mercedes-Benz', model='SLS AMG', model_year='2011', price=79588.99}, location=Location{country='Czech Republic', city='Líně'}, date=2020-01-03}
Purchase{id=861, person=Person{name='Bob', surname='Allbrook', email='ballbrooknw@princeton.edu', ip='6.79.11.37'}, car=Car{color='#792007', vin='3TMJU4GN3EM074082', company='Mercedes-Benz', model='W201', model_year='1992', price=86538.44}, location=Location{country='Poland', city='Potęgowo'}, date=2020-03-19}
Purchase{id=877, person=Person{name='Alfy', surname='Nevill', email='anevilloc@mapy.cz', ip='147.243.148.87'}, car=Car{color='#b668c9', vin='1N6AD0CUXCN912310', company='Mercedes-Benz', model='SL-Class', model_year='2012', price=97767.71}, location=Location{country='Poland', city='Komorów'}, date=2020-04-05}
Purchase{id=901, person=Person{name='Ashlee', surname='Dismore', email='adismorep0@va.gov', ip='74.86.153.49'}, car=Car{color='#c2b7fe', vin='2G4WC582561030950', company='Mercedes-Benz', model='W123', model_year='1977', price=44748.84}, location=Location{country='Germany', city='Berlin'}, date=2020-01-18}
Purchase{id=906, person=Person{name='Heinrik', surname='Fewkes', email='hfewkesp5@zdnet.com', ip='255.212.54.62'}, car=Car{color='#a0ffbe', vin='JTJBM7FX7A5973887', company='Mercedes-Benz', model='E-Class', model_year='1992', price=31371.77}, location=Location{country='Denmark', city='København'}, date=2020-09-07}
Purchase{id=924, person=Person{name='Evelin', surname='Trustram', email='etrustrampn@berkeley.edu', ip='124.231.224.23'}, car=Car{color='#255d32', vin='2C3CDXHG4CH218846', company='Mercedes-Benz', model='E-Class', model_year='1985', price=20801.29}, location=Location{country='Poland', city='Kołbiel'}, date=2020-10-05}
Purchase{id=945, person=Person{name='Abe', surname='Mc Comb', email='amccombq8@chron.com', ip='161.32.18.178'}, car=Car{color='#881729', vin='19VDE1F77FE872469', company='Mercedes-Benz', model='C-Class', model_year='2007', price=44998.76}, location=Location{country='Poland', city='Olsztynek'}, date=2020-11-08}
Purchase{id=951, person=Person{name='Christy', surname='Merton', email='cmertonqe@oaic.gov.au', ip='93.202.134.73'}, car=Car{color='#325ec1', vin='WBA3G7C5XEK034559', company='Mercedes-Benz', model='300TE', model_year='1992', price=58487.99}, location=Location{country='Poland', city='Klenica'}, date=2020-05-15}
Purchase{id=970, person=Person{name='Denney', surname='Meechan', email='dmeechanqx@icq.com', ip='191.96.132.126'}, car=Car{color='#51aa42', vin='1N6AF0KY8EN499949', company='Mercedes-Benz', model='SLK-Class', model_year='2002', price=93702.98}, location=Location{country='Denmark', city='Frederiksberg'}, date=2020-07-03}
Purchase{id=987, person=Person{name='Barnie', surname='Skentelbery', email='bskentelberyre@chicagotribune.com', ip='74.49.83.211'}, car=Car{color='#bb2d06', vin='WBAFB33461L281058', company='Mercedes-Benz', model='SL-Class', model_year='2011', price=18686.72}, location=Location{country='Poland', city='Opatów'}, date=2020-05-21}
Purchase{id=992, person=Person{name='Moreen', surname='Darley', email='mdarleyrj@skyrock.com', ip='123.209.151.121'}, car=Car{color='#334a1b', vin='WAUHFAFL5DA539459', company='Mercedes-Benz', model='E-Class', model_year='2002', price=38456.38}, location=Location{country='Poland', city='Strachówka'}, date=2020-07-18}
